KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
acttitleCraftAmmo,Craft Ammo,Munition herstellen,,,,,,,Сделайте патроны,,,,,,,,
actdescCraftAmmo,"Now create the ammo by adding the 5.8mm Ammo template to the queue. The 5.8mm ammo template has an output count of 25, so  2-3 should be enough for the start (50-75 rounds).\n\nWhen the construction has finished, move the Ammo to the player inventory (clips will be reloaded from there!).\n\n[u]Tip:[/u] Most of the Ammo needs Magnesium Powder and Iron ingots. The more you fight, the more you need. Keep an eye especially on your Magnesium supplies and watch out for Magnesium ore early on!\n\n[b]Constructor Queue Shortcut![/b]\nAdd the following templates in exactly the given order to finish this task without any hassle: 3x Metal Components > 1x Electronics > 1x Assault Rifle > 1x Metal Pieces > 2x 5.8mm Bullet > Switch Constructor to ON","Stelle jetzt auch die Munition her. Füge dazu unter  WAFFEN und GEGENSTÄNDE die Vorlage für die 5.8mm Munition hinzu. Da jede Vorlage für diese Sorte Munition dir 25 Schuss pro Vorlage erstellt, füge zunächst 2-3 Vorlagen in die Warteschlange hinzu. Daraus erhältst du dann 50-75 Schuss.\n\nSobald die Munition produziert ist, lege sie in dein Inventar. Du musst sie nicht in deine Toolbar verschieben, da Waffen und Werkzeuge direkt aus deinem Inventar geladen werden.\n\n[u]Tipps:[/u]\nMunition benötigt oft Magnesiumpulver und Eisenbarren. Je mehr du kämpfst, desto mehr davon. Halte daher nach Magnesium-Vorkommen schon frühzeitig Ausschau!\n\n[b]Warteschlangen-Abkürzung![/b]\nFüge die folgenden Materialien in exakt der vorgegebenen Reihenfolge zu um die Aufgabe mit Leichtigkeit abzuschließen: 3x Metallkomponenten > 1x Elektronik > 1x Sturmgewehr > 1x Metallstücke > 2x 5,8mm Kugel > Schalte den Construktor AN",,,,,,,"Теперь создайте патроны, добавив 5,8-мм патрон в очередь. Шаблон патронов 5,8 мм имеет счетчик 25, поэтому для старта должно хватить 2-3 (50-75 выстрелов).\n\nКогда строительство закончится, переместите боеприпасы в инвентарь игрока (обоймы будут перезаряжены оттуда!).\n\n[u]Совет:[/u] \nБольшинству боеприпасов нужны слитки магниевого порошка и железа. Чем больше вы сражиетесь, тем больше вам нужно. Особенно следите за запасами магния и следите за магниевой рудой на ранней стадии!\n\n[b]Порядок очереди конструктора![/b] \nДобавьте следующие шаблоны точно в указанном порядке, чтобы завершить эту задачу без каких-либо хлопот: 3x Металлические компоненты > 1x Электроника > 1x Штурмовая винтовка > 1x Металлические детали > 2x 5.8мм патроны > Переключите конструктор в положение ВКЛ.",,,,,,,,
tasktitleMaterials,Mining and Materials,Bergbau und Ressourcen,,,,,,,Добыча и материалы,,,,,,,,
acttitlePickupOre,Pick up Ore,Erz abbauen,,,,,,,Соберите руду,,,,,,,,
actdescPickupOre,"You will need a lot of resources until you are able to leave the planet. Iron is needed to build any vessel. Magnesium is  the most important for ammo. Promethium is needed for running your base with fuel packs as well as for creating new drill charges!\n\nNow go find some ore spots. Keep your eyes open for Promethium, Iron and Magnesium. Copper and other minerals are useful as well. If you discovered an ore spot or an alien structure, it will be permanently marked on your Planetary 3D Map. Open the Map (M) and have a look at the planet 3D map and the already discovered POIs and ore spots.\n\nFirst, equip the Drill and find an ore spot, preferably a Magnesium ore deposit. Hold the left mouse button, aim to the ground and drill down until you find the ore deposit.\n\nAs soon as you have found the deposit, only aim at the ore deposits and mine them. [b]Look for the difference in color and texture to tell the difference![/b] Drilling only the dirt uses up your drill charges with nothing valuable in return.\n While drilling into the ore deposits, rocks and ore ingots will drop to the ground. Aim at them and hit F to pick them up (The Tier 2 Drill, which can be unlocked in the Techtree, will auto-collect all the minerals!).\n\n[u]Tips:[/u]\n- The map will not only show you discovered ore spots, bases, vessels or alien structures (POI), but also tell you which resources can be found on this planet or which are still available. An overview of discovered and yet discovered ore deposits is displayed on the bottom right.\n- If the deposits are depleted, meteors will strike the planet once in a while and add new deposits of a specific ore type.\n\n[b]Advice:[/b]\n- If you run out of Biofuel for the Tier 1 Drill, collect some Seaweed from the bottom of a nearby lake and produce BioFuel in the Survival Constructor\n-   Don't drill vertically only, because the hole may become your prison if you run out of drill charges and forgot to leave behind a path you could use to simply walk out of your mine.\n- Always think about on how to get out of your mine with the least amount of dill charges wasted on drilling dirt.\n- Use your Jetpack (J) to jump higher!\n- Do NOT throw away the Crushed Stone! You can use them for creating Concrete Blocks as a nice and more durable alternative for building a base (compared to wood or iron and less costly than iron blocks)!","Du wirst jede Menge Materialien benötigen bis du den Planeten verlassen kannst. Eisen wird für alle Fahrzeuge und Raumschiffe benötigt. Magnesium ist die wichtigste Ressource für Munition. Promethium wird benötigt um deine Basis und Maschinen am Laufen zu halten und um neue Bohrer-Ladungen herzustellen.\n\nSchaue dich nach einigen Erzvorkommen um. Halte die Augen offen und suche nach Promethium, Eisen oder Magnesium. Kupfer und andere Materialien sind natürllich auch wichtig.\n\nWenn du ein Erzvorkommen oder aber eine Alien POI entdeckt hast, wird sie permanent auf deiner Planetenkarte (M) markiert. Öffne die Karte und sieh nach, welche Orte du bereits entdeckt hast.\n\nZunächst lege dir den Bohrer in einen freien Platz in deiner Toolbar und wähle ihn aus. Gehe zu einem der Erzvorkommen die du gefunden hast (vorzugsweise Magnesium). Du siehst zunächst vielleicht nur eine Markierung an der Oberfläche. Du musst dich erst nach unten durchgraben. Hast du die Erzader gefunden, dann ziele NUR auf die Ader, möglichst nicht auf das umgebende Gestein. Dies bringt dir nicht viel, sondern verbraucht nur deine Ladungen. Die ertragreichen Adern sind unterschiedliche gefärbt. Schau genau hin und präge dir ein, was du abbauen musst!\n\nWenn du gräbst, fallen Brocken von Gestein und Erz auf den Boden. Ziele auf die Bruchstücke und drücke F um sie aufzusammeln. (Mit dem Stufe 2 Bohrer, den du im Techtree freischalten kannst, passiert dies automatisch!)\n\n[u]Tipps:[/u]\n- Die Planetenkarte zeigt dir nicht nur entdeckte Erzvorkommen, Basen oder Fahrzeuge, und interessante Landmarken, z.B  Gebäude von Aliens (sogenannte POIs), sondern sie gibt dir auch einen Hinweis, welche Ressourcen auf dem Planeten gefunden werden können!\n- Ist eine Erzlagerstätte erschöpft, erscheint nach kurzer Zeit ein Meteorit und bringt neue Erze dieses Typs auf den Planeten.\n\n[b]Empfehlungen:[/b]\n- Wenn du den ganzen BioTreibstoff für deinen T1 Bohrer verbraucht hast, sammele ein paar Meeresalgen vom Grund eines Sees und stelle neuen Treibstoff im Überlebenskonstruktor her!\n- Grabe nicht nur vertikal, denn du musst aus deiner Mine auch wieder heraus kommen können. Bist du am Grund einer tiefen Mine und dir gehen die Bohrer-Ladungen aus, hast du ein Problem.\n- Plane daher immer deinen Weg nach oben. Am besten auch so dass du so wenig wie möglich Erde mit deinen kostbaren Bohrer-Ladungen entfernen musst.\n- Aus flachen Minen kommst du mit deinem Jetpack (J) schnell wieder nach oben.\n- Wirf den Schotter nicht weg! Du benötigst ihn unter anderem für Zementblöcke, die eine gute, günstige und haltbare Baustoff-Alternative für deine Basis darstellen (verglichen mit der Stabilität von Holz oder den Kosten von Stahlblöcken)",,,,,,,"Вам понадобится много ресурсов, пока вы не сможете покинуть планету. Железо нужно для постройки любого судна. Магний является наиболее важным для боеприпасов. Прометий необходим для работы вашей базы с топливными блоками, а также для создания новых зарядов!\n\nТеперь идите и найдите несколько рудных месторождений. Следите за прометием, железом и магнием. Медь и другие полезные ископаемые также полезны. Если вы обнаружили рудное месторождение или инопланетное сооружение, оно будет постоянно отмечено на вашей Планетарной 3D-карте. Откройте Карту ([ff8000]M[-]) и посмотрите на 3D-карту планеты и на уже обнаруженные ТИ и рудные месторождения.\n\nВо-первых, снарядитесь буром и найдите рудное месторождение, предпочтительно месторождение Магниевой руды. Удерживая левую кнопку мыши, целитесь в землю и бурите, пока не найдете месторождение руды.\n\nКак только вы найдете месторождение, нацельтесь на рудные месторождения и добывайте его. [b]Ищите разницу в цвете и текстуре, чтобы увидеть разницу![/b] Бурение только земли израсходует ваш заряд бура, ничего не дав взамен.\nПри бурении рудных месторождений камни и рудные слитки упадут на землю. Нацельтесь на них и нажмите [ff8000]F[-], чтобы забрать их (Бур К2, который можно разблокировать в [b]Технология[/b], автоматически соберет все минералы!).\n\n[u]Подсказки:[/u] \n- Карта не только покажет вам обнаруженные месторождение руды, базы, корабли или посторонние сооружения (ТИ), но также скажет вам, какие ресурсы можно найти на этой планете или какие еще доступны. Обзор обнаруженных и пока еще открытых рудных месторождений показан справа внизу.\n- Если залежи истощаются, метеоры время от времени падают на планету и добавляют новые залежи определенного типа руды.\n\n[b]Совет:[/b] \n- Если у вас заканчивается биотопливо для Бура К1, соберите немного морских водорослей со дна близлежащего озера и произведите биотопливо в аварийном конструкторе.\n- Не проводите бурение только по вертикали, потому что яма может стать вашей тюрьмой, если у вас закончится бур и вы забыли оставить дорогу, по которой вы могли бы просто выйти из шахты.\n- Всегда думайте о том, как выбраться из шахты с наименьшими затратами на бурение.\n- Используйте свой реактивный ранец ([ff8000]J[-]), чтобы прыгнуть выше!- НЕ выбрасывайте Щебень! Вы можете использовать его для создания бетонных блоков в качестве хорошей и более долговечной альтернативы для строительства фундамента (по сравнению с деревом или железом и дешевле, чем железные блоки)!",,,,,,,,
completeEscapePodMissionI,"Unknown Voice: Well done! Now you know how to survive and conquer a planet, right?!",,,,,,,,,,,,,,,,
chptitleBuildBase,Escape Pod Mission II,Escape Pod Mission II,,,,,,,Спасательная капсула Миссия II,,,,,,,,
chpdescBuildBase,"The second chapter of this tutorial will teach you how to set up your first base.Building a base will allow you to increase your self-sufficiency and overall capabilities.\n\nA basic layout consists of a few elements:\n- base starter block\n- generator\n- fuel tank\n- growing plots\n- growing light\n- large constructor\n- cannon turret\n- ammo box\n- oxygen station\n- oxygen tank\n\nIt's also a good idea to add a fridge, a food processor and a clone chamber early on.\n\n[b]Note: You can activate a building helper drone with F5. The Drone can build and remove blocks like you can do with your player avatar! It has a maximum range, though[/b]\n\nEach sub-chapter contains a number of main- and sub-tasks to follow as well as valuable background infos and [u]Tips[/u] at the end of each task-page (like the Construction Queue Shortcuts!). \n\nFore more details please refert to the PDA Knowledgebase! \n\n[b]You can always activate and deactivate each chapter manually![/b]","Das zweite Mission dieser Übungseinheit zeigt dir, wie du deine erste Basis baust.  Eine Basis eröffnet dir ganz neue Möglichkeiten und sichert dein Überleben..\n\nEine grundlegende Ausstattung für eine Basis besteht  aus den folgenden Einrichtungen:\n- Basis Starter\n- Generator\n- Kraftstofftank\n- Pflanzenbeete\n- Pflanzenlicht\n- Großer Konstruktor \n- Kanonen Geschütz\n- Munitionskiste\n O2 Station\n- O2 Tank\n\nSobald als möglich ebenfalls ergänzen solltest du einen Kühlschrank, einen Nahrungsmittel-Prozessor und die Klonkammer.\n\n[b]Hinweis: Aktiviere deine persönliche Bauhelfer-Drohne mit F5. Sie kann alles bauen und auch Blöcke entfernen. Sie hat allerdings eine begrenzte Reichweite![/b]\n\nJedes Mission enthält eine Reihe von Haupt- und Nebenaufgaben die du erfüllen musst. Am Ende jeder Aufgabe findest du [u]Tipps[/u], die dir weiterhelfen können (z.b. Warteschlangen-Abkürzungen!).\n\nWeitere Informationen findest du in der PDA Wissensdatenbank!\n\n[b]Du kannst jedes Mission jederzeit von Hand  aktivieren und deaktivieren[/b]",,,,,,,"Во второй главе этого урока вы узнаете, как построить свою первую базу. Создание базы позволит вам повысить свою самостоятельность и общие возможности.\n\nБазовый макет состоит из нескольких элементов:\n- Основа БА\n- Генератор\n- Топливный бак\n- Растительный модуль\n- Свет для растений\n- Большой конструктор\n- Пушечная турель\n- Ящик амуниции\n- Кислородная станция\n- Кислородный бак\n\nТакже неплохо было бы добавить холодильник, пищевой процессор и камеру клонирования.\n\n[b]Примечание: вы можете активировать дрон-помощник при помощи F5. Дрон может строить и удалять блоки, как вы можете сделать с аватаром своего игрока![/b] \n\nКаждая подглава содержит ряд основных и несколько подзадач, а также ценные справочные сведения и советы в конце каждой страницы задачи (например, ярлыки очереди на строительство!). \n\nДля более подробной информации, пожалуйста, обратитесь к базе знаний КПК! \n\n[b]Вы всегда можете активировать и деактивировать каждую главу вручную![/b]",,,,,,,,
tasktitleBaseStarter,Base Starter,Grundstein legen,,,,,,,Основа БА,,,,,,,,
acttitlePlaceBAStarter,Place Base Starter,Basis-Starter platzieren,,,,,,,Разместите Основу БА,,,,,,,,
actdescPlaceBAStarter,"Building a base always starts with crafting and laying down a base starter block.\n\nOpen your Survival constructor and find the 'base starter' block in the Building Blocks tab. Move the base starter block to a free slot in your toolbar and place it on the terrain.\n\nAfter having successfully placed the starter block, create at least 10 more blocks of any material to increase the base plate size. Choosing the material (Wood, Concrete, Steel or Hardened Steel) is up to you. Each of the materials has its own advantages and disadvantages concerning resource need, stability, armor and hitpoints.\n\n[u]Tips:[/u]\n- You can move the Core Block up and down vertically ahead of placing it. You do NOT need to level the ground. Just use PAGE UP or PAGE DOWN to level the Core block.\n- You can add a LINE of hull blocks by holding the left-mouse button and dragging the mouse\n- You can add a PLANE of blocks by holding CTRL and dragging the mouse. Place yourself on an elevated position - this will make creating a plane much easier! \n - You can deconstruct, disassemble, upgrade and rotate a placed block with the Multitool (you need to unlock it from the Techtree and craft the tool at first). Use right-mouse click to set the working mode of the Multitool. \n[b]PLEASE NOTE:[/b]   If you destroy a device with a filled inventory, like a constructor or fridge, its contents will drop in backpacks for you to collect. \n\n[b]Important:[/b]\n- All of your buildings are affected by the [b]Structural -Integrity[/b]\n- Different materials have different structural integrity characteristics![/b].\n- Press N to open the Build-Helper Menu and tick the box for the Structural Integrity Overlay - this will show you if your build is stable (green areas).. or if it will break with the next block placed (orange and red areas).","Das Bauen einer Basis beginnt immer damit, den Basis-Starter herzustellen und an einer geeigneten Stelle zu platzieren.\n\nÖffne den Überlebenskonstruktor und wähle die Vorlage 'Basis-Starter' im Reiter  BAUBLÖCKE aus. Wenn du den Basis-Starter fertig produziert hast, lege ihn in einen freien Platz in deiner Toolbar, wählen ihn aus und setze ihn an einer geeigneten Stelle auf dem Boden ab\n\nWenn du den Basis-Starter angelegt hast, stelle mindestens noch 10 weitere Konstruktionsblöcke her um die Grundplatte deiner Basis für die benötigten Geräte zu erweitern. Ob du die Blöcke aus Holz, Beton, Stahl oder Gehärtetem Stahl herstellst, ist dir überlassen. Jedes Material hat seine eigenen Vor- und Nachteile in Bezug auf Ressourcenkosten, Stabilität, Panzerung und Haltbarkeit.\n\n[u]Tipps[/u]\n- Du kannst den Kern Block vertikal nach oben und unten bewegen bevor du ihn setzt. Du musst den Boden NICHT vorher glätten! Nutze einfach BILD HOCH und BILD RUNTER zum die Platzierhöhe zu verändern.\n- Du kannst eine ganze REIHE an Konstruktionsblöcken platzieren, indem du die linke Maustaste gedrückt hältst und die Maus ziehst.\n- Du kannst eine FLÄCHE von Konstruktionsblöcken platzieren, indem du STRG gedrückt hältst und die Maus ziehst. Beim Erstellen einer Fläche, stelle dich vorher immer auf eine erhöhte Position! Das macht die Sache einfacher.\n- Mit dem Multifunktionstool kannst du Blöcke wieder abbauen, aufnehmen, rotieren oder upgraden (Das Gerät musst du im Techinkbaum freischalten und im Konstruktor herstellen). Klicke die rechte Maustaste um den Arbeitsmodus des Gerätes einzustellen.\n- Wenn du ein Gerät mit gefülltem Geräte-Inventar abbaust, erscheinen dessen Inhalte als Rucksäcke die du aufsammeln kannst.\n\n[b]Wichtig:[/b]\n- Alle Basen auf Planeten sind von der 'Strukturellen Integrität' betroffen.\n- Verschiedene Materialien haben verschiedene Charakteristiken bezogen auf die Strukturelle Integrität.\n- Drücke N um das Bauhilfen-Menü aufzurufen und schalte dort den den Modus zur Anzeige der Strukturellen Integrität an. Dieser  zeigt dir, ob deine Bauten stabil (grüne Bereiche) oder kurz davor sind, in sich  zusammen zu fallen (orange/rote Bereiche).",,,,,,,"Строительство базы всегда начинается с создания и размещения блока Основа БА.\n\nОткройте Аварийный конструктор и найдите блок [b]Основа БА[/b] на вкладке [b]Строительные блоки[/b]. Переместите блок [b]Основа БА [/b]в свободный слот на панели инструментов и разместите его на местности.\n\nПосле того, как успешно размещен блок [b]Основа БА[/b], стоит создать, по крайней мере 10 блоков какого-либо материала, чтобы увеличить размер опорной плиты. Выбор материала (дерево, бетон, сталь или закаленная сталь) зависит от вас. Каждый из материалов имеет свои преимущества и недостатки, касающиеся потребности в ресурсах, стабильности, брони и прочности.\n\n[u]Подсказки:[/u] \n- Вы можете перемещать основной блок вверх и вниз по вертикали перед его размещением. Вам НЕ нужно выравнивать землю. Просто используйте PAGE UP или PAGE DOWN, чтобы выровнять основной блок.\n- Вы можете добавить ЛИНИЮ блоков, удерживая левую кнопку мыши и перетаскивая мышь.\n- Вы можете добавить ПЛОСКОСТЬ блоков, удерживая CTRL и перетаскивая мышь. Поставьте себя на возвышение - это значительно облегчит создание плоскости! \n - Вы можете деконструировать, разбирать, модернизировать и вращать размещенный блок с помощью Мульти-инструмента (вам нужно разблокировать его из Технологии и сначала создать этот инструмент).\nИспользуйте правую кнопку мыши, чтобы установить режим работы Мульти-инструмента.\n \n[b]ОБРАТИТЕ ВНИМАНИЕ:[/b] Если вы уничтожите устройство с заполненным инвентарем, например конструктор или холодильник, его содержимое упадет в ящик, которые вы сможете забрать. \n\n[b]Важно:[/b] \n- Все ваши здания подвержены [b]структурной целостности[/b]\n- Разные материалы имеют разные характеристики структурной целостности!\n- Нажмите [ff8000]N[-], чтобы открыть меню [b]Строительные инструменты[/b], и установите флажок [b]Наложение структурной целостности[/b] - оно покажет вам, стабильна ли ваша сборка (зеленые области) ... или сломается ли следующий блок (оранжевые и красные области).",,,,,,,,
tasktitleEquipBase,Equip your Base (Stage I),Basis ausrüsten (Teil I),,,,,,,Оборудуйте свою базу (Этап I),,,,,,,,
acttitleSmallBAGen,Place a Generator,Generator platzieren,,,,,,,Разместите Генератор,,,,,,,,
actdescSmallBAGen,"First, we need at least a small generator. Craft one in your survival constructor. Place the generator at a suitable place on you base.\n\n[b]Constructor Queue Shortcut![/b]\nAdd the following templates in exactly the given order to finish this task without any hassle: 1x Steel Plate > 9x Electronics > 19x Metal Components > 8x Cable > 3x Pipes > 4x Control Device > 1x Motor > 2x Capacitor Device > 2x Computer > 1x Reactor Core > START > add 1x Small Generator as soon as a queue slot is empty",Zunächst benötigst du mindestens einen Kleinen Generator. Stelle ihn im Überlebenskonstruktor her. Setze den Generator an einer passenden Stelle auf die Grundplatte deiner Basis.\n\n[b]Warteschlangen- Abkürzung![/b]\nFüge die folgenden Materialien in exakt der vorgegebenen Reihenfolge zu um die Aufgabe mit Leichtigkeit abzuschließen: 1x Stahlplatte > 9x Elektronik > 19x Metallkomponenten > 8x Kabel > 3x Rohre > 4x Steuergerät > 1x Motor > 2x Kondensatoreinheit > 2x Computer > 1x Reaktorkern > PRODUKTION STARTEN > 1x Generator klein (sobald ein Platz in der Warteschlange frei ist),,,,,,,"Во-первых, нам нужен хотя бы маленький генератор. Создайте один в своем каварийном онструкторе. Разместите генератор в подходящем месте на вашей базе.\n\n[b]Порядок очереди конструктора![/b] \nДобавьте следующие шаблоны точно в указанном порядке, чтобы выполнить эту задачу без лишних хлопот: 1x Стальная пластина > 9x Электроника > 19x Металлические компоненты > 8x Кабель > 3x Трубы > 4x Устройство управления > 1x Двигатель > 2x Конденсаторное устройство > 2x Компьютер > 1x Ядро Реактора > СТАРТ > добавьте 1x Малый генератор, как только слот очереди освободится.",,,,,,,,
acttitleSmallBAFuelTank,Place a Fuel Tank,Kraftstofftank platzieren,,,,,,,Разместите Топливный бак,,,,,,,,
actdescSmallBAFuelTank,Craft a small fuel tank in your survival constructor and place a fuel tank on your base\n\n[b]Constructor Queue Shortcut![/b]\n2x Electronics > 2x Metal Components > 2x Cable > 1x Small Fuel Tank,Stelle nun im Überlebenskonstruktor mindestens einen Kleinen Kraftstofftank her und platzieren ihn ebenfalls in deiner Basis.\n\n[b]Warteschlangen-Abkürzung![/b]\n2x Elektronik > 2x Metallkomponenten > 2x Kabel > 1x Treibstofftank klein,,,,,,,Создайте небольшой топливный бак в аварийном конструкторе и поместите топливный бак на свою базу.\n\n[b]Порядок очереди конструктора![/b] \n2x Электроника > 2x Металлические компоненты > 2x Кабель > 1x Малый топливный бак.,,,,,,,,
acttitleBALargeConstr,Place a Large Constructor,Konstruktor platzieren,,,,,,,Разместите Большой конструктор,,,,,,,,
actdescBALargeConstr,"For creating more complex blocks like turrets and such, we need a better constructor.Craft a large constructor in the survival constructor and place it on your base.\n\nAlso an advantage: With the Large Constructor you do not need to craft intermediate materials like components manually anymore!\n\n[b]Constructor Queue Shortcut![/b]\n 1x Metal Plate > 9x Metal Components > 6x Electronics > 7x Cables > 4x Pipes > 4x Control Device > 2x Motor > 2x Computer > 1x Large Constructor","Um komplexere und schlagkräftigere Geräte wie den Kanonen Turm zu bauen, benötigst du einen besseren Konstruktor. Baue einen Großen Konstruktor im Überlebenskonstruktor und stelle ihn in deiner Basis auf.\n\nVorteil: Der Große Konstruktor kann Zwischenkomponenten selbst herstellen! Du musst sie dann nicht mehr manuell produzieren.\n\n[b]Warteschlangen-Abkürzung![/b]\n1x Stahlplatte > 9x Metallkomponenten > 6x Elektronik > 7x Kabel > 4x Rohre > 4x Steuergerät > 2x Motor > 2x Computer > 1x Konstruktor groß",,,,,,,"Для создания более сложных блоков, таких как турели и тому подобное, нам нужен лучший конструктор. Создайте большой конструктор в аварийном конструкторе и поместите его на свою базу.\n\nТакже преимущество: с Большим конструктором вам больше не нужно создавать промежуточные материалы, такие как компоненты, вручную!\n\n[b]Порядок очереди конструктора:[/b] \n1x Металлическая пластина > 9x Металлические компоненты > 6x Электроника > 7x Кабели > 4x Трубы > 4x Устройство управления > 2x Двигатель > 2x Компьютер > 1x Большой конструктор.",,,,,,,,
acttitleActivateBA,Activate the Base,Basis aktivieren,,,,,,,Активируйте вашу Базу,,,,,,,,
actdescActivateBA,"For creating the more advanced devices available in the large constructor, we need to activate the base, this means we need to power up the base.\n\nAdd some fuel packs to the fuel tank. Then stand on a block that is connected to your base and hit Y (default).\n\n[b]This will result in two things happening:[/b]\n1. It will allow us to run more advanced devices like the large constructor.\n2. This will make you visible for the aliens and call in drones attacking your base sooner or later\n\nSo have your Assault Rifle and enough 5.8mm Ammo ready and immediatelly progress to the next step and buid a turret!\n\nDrones approaching your base are marked as red arrows in your top-right radar screen! Make sure to loot the drones when downed! They are a great source of materials!.","Um die besseren Geräte im Großen Konstruktor herstellen zu können, benötigt  deine Basis Energie. Das bedeutet, wir müssen sie zunächst mit Energie versorgen.\n\nSetze einige Kraftstoffzellen in den Kraftstoff Tank ein. Dann stelle dich auf einen Block der mit deiner Basis in irgend einer Form verbunden ist und drücke Y. \n\nJetzt passieren zwei Dinge\n1. In der aktivierten Basis kannst du nun alle Geräte benutzen und höherwertige Maschinen herstellen\n2. Die Aktivierung führt dazu, dass die Aliens auf dich aufmerksam werden und deren Drohnen dich früher oder später angreifen.\n\nStelle genügend Munition her und lege dir dein Sturmgewehr bereit und baue so schnell wie möglich deinen ersten Geschützturm.\n\nDie Drohnen erkennst du an roten Pfeilen auf deiner Radarkarte. Schieße sie ab und leere ihr Inventar, denn sie haben oft sehr nützliche Dinge für dich dabei!",,,,,,,"Для создания более продвинутых устройств, доступных в большом конструкторе, нам нужно активировать базу, это означает, что нам нужно включить ее.\n\nДобавьте несколько топливных ячеек в топливный бак. Затем встаньте на блок, который связан с вашей базой, и нажмите [ff8000]Y[-] (по умолчанию).\n[b][/b][b]Это приведет к двум вещам:[/b] \n1. Это позволит нам запускать более продвинутые устройства, такие как большой конструктор.\n2. Это сделает вас видимыми для инопланетян и вызовет дронов, атакующих вашу базу, рано или поздно.\n\nТак что приготовьте свою Штурмовую винтовку и достаточно 5,8-мм патронов, и немедленно переходите к следующему шагу и постройте турель!\n\nДроны, приближающиеся к вашей базе, отмечены красными стрелками на вашем верхнем правом экране радара! Постарайтесь разграбить дронов, когда они сбиты! Они являются отличным источником материалов!",,,,,,,,
tasktitleEquipBase2,Equip your Base (Stage II),Basis ausrüsten (Teil II),,,,,,,Оборудуйте свою базу (Этап II),,,,,,,,
acttitleBATurrAmBox,Add Turret & Ammo Box,Geschütz und Munitionskiste,,,,,,,Добавьте Турель и Ящик амуниции,,,,,,,,
actdescBATurrAmBox,"At first, craft the Cannon Turret and some 30mm ammo from the WEAPONS AND TOOLS tab in the large constructor. Then, craft the ammo box from the DEVICES tab.\n[b] If you can not find both or other templates in your constructor template tab, you might need to unlock the tempates in the Techtree (F3) at first![/b]\n\nPlace the turret on an elevated place (like on a small socket of 3*3*2 blocks - but mind the structural integrity!). The Ammo Box can be placed anywhere in your base! You need to add the ammo to the ammo box of course!\n\nAdd the 30mm ammo into the ammo box. This will allow the turrets to automatically fetch their bullets from there!\n\nStand on a base block and open the Console Panel (P). Select the turret on the left side of the screen to access some targeting-settings: Other Factions, Alien (Drones, Soldiers), Predator (Aggressive NPCs), Prey (Non-aggressive NPCs)","Stelle zuerst das Kanonen Geschütz, sowie etwas 30mm Munition im WAFFEN und GERÄTE Reiter des Großen Konstruktors her. Dann erstelle die Munitionskiste, zu finden im Reiter GERÄTE. \n\n[b]Wenn du beide Vorlagen (und auch andere) in deinem Konstruktor nicht finden kannst, musst du sie wahrscheinlich erst im Techtree (F3) freischalten![/b]\n\nStelle den Turm auf eine etwas erhöhte Plattform, z.B 3*3 und 2 Blöcke hoch - aber beachte dabei die Strukturelle Integrität. Die Munitionskiste kann überall in deiner Basis gesetzt werden. Fülle sie mit der Munition und der Turm wird sich automatisch nachladen.\n\nStelle dich auf einen Block deiner Basis und öffne die Steuerkonsole (P). Klicke in der Liste links deinen Turm an. Im Detail-Fenster siehst du nun einige auswählbare Ziel-Voreinstellungen: Andere Fraktionen, Alien (Drohnen, Soldaten), Jäger (Aggressive Tiere) und Beute (Harmlose Tiere/NPCs)",,,,,,,"Сначала создайте пушечную турель и около 30-мм боеприпасов на вкладке ОРУЖИЕ И ПРЕДМЕТЫ в большом конструкторе. Затем создайте Ящик амуниции на вкладке УСТРОЙСТВА.\n[b]Если вы не можете найти эти или другие шаблоны на вкладке шаблонов конструктора, вам может понадобиться сначала разблокировать шаблоны в Технологиях ([ff8000]F3[-])![/b]\n\nПоместите турель на возвышении (как в маленькую розетку из 3x3x2 блоков - но помните о структурной целостности!). Ящик амуниции можно разместить в любом месте на вашей базе! Вы должны добавить боеприпасы в Ящик амуниции!\n\nДобавьте 30-мм патроны в Ящик амуниции. Это позволит турелям автоматически получать свои заряды оттуда!\n\nВстаньте на блок базы и откройте панель консоли ([ff8000]P[-]). Выберите турель в левой части экрана, чтобы получить доступ к некоторым настройкам целеуказания: Другие фракции, Чужие (Дроны, Солдаты), Хищник (Агрессивные НИП), Добыча (Неагрессивные НИП)",,,,,,,,
acttitleBABasicDevices,Add O2 and Food Production,O2 und Nahrungserzeugung,,,,,,,Добавьте O2 и производство продуктов питания,,,,,,,,
