KEY,English,Russian
lblCreateBuyOffer,Create Buy Offer,Создать предложение покупки
lblCreateSellOffer,Create Sell Offer,Создать предложение продажи
lblDeposit:,Deposit:,Внести:
lblDisabled,Disabled,Выключено
lblDisplayText,Display Text,Отображаемый текст
lblDuration,Duration,Длительность
lblDuration:,Duration (h:m):,Длительность (ч:м):
lblEnterLockCode,Please enter lock code (0000 = public),"Пожалуйста, введите код блокировки (0000 = общее)"
lblEnterTextHere,Enter text here...,Здесь вводите текст...
lblExpired,expired/aborted,просрочено/отменено
lblFeeNPercent:,Fee ({0}%):,Комиссия ({0}%):
lblFontSize,Font size,Размер шрифта
lblFor,for,для
lblHideStandardServers,Show Official Servers,Показать официальные сервера
lblHostedBy:,Hosted by:,Хостинг от:
lblInventory,Inventory,Инвентарь
lblItem,Item,Предмет
lblLeader,Leader,Лидер
lblLoadingGame,Loading...,Загрузка игры...
lblLocation,Location,Локация
lblLockCode:,Lock code:,Код блокировки:
lblMarketplace,Marketplace,Рынок
lblMultiplayer,Multiplayer,Мультиплеер
lblNever,Never,Никогда
lblNextProductInSeconds:,Next product [s]:,Следующий продукт [s]:
lblNoAbortTime,(No-Abort Time: {0}),(Не прерываемое время: {0})
lblOfferDetails,Offer Details,Подробности предложения
lblOffNoEnergy,Off (No energy source),Выкл. (Нет источника энергии)
lblOffNoMaterial,Off (No source material),Выкл. (Нет источника сырья)
lblOffNoStorage,Off (Storage full),Выкл. (Хранилище заполнено)
lblOpenOnExceptions,Open on Exceptions,Открывать при исключениях
lblPlayerNeeds_LEVEL_ToActivate_CHAPTYPE,Player needs level {0} to be allowed to activate {1}!,Игроку требуется уровень {0} для включения {1}!
lblPPI,Unit Price,Цена за ед.
lblPreambleHeading,Message received!,Сообщение получено!
lblPrice,Price,Цена
lblPrice:,Price:,Цена:
lblProducing:,Producing:,Производит:
lblRegistry,Registry,Реестр
lblRemainTime:,Remaining Time:,Оставшееся время:
lblRevenue:,Revenue:,Выручка:
lblRunning,running,выполняется
lblSale,Sale,Продажа
lblSellCount:,Sell Count:,Продано:
lblSince,Since,После
lblSinglePlayer,Single Player,Один игрок
lblStatus,Status,Статус
lblSupporter,Supporter,Помощник
lblTeleporting,Teleporting...,Телепортация...
lblTextColor,Text Color,Цвет текста
lblToPay:,To Pay:,К оплате:
lblTotal:,Total:,Итого:
lblTotalProdTime:,Total Production Time:,Общее время производства:
lblTradingStation,Trading Station,Торговая станция
lblTradingStation:,Trading Station:,Торговая станция:
lblTrustedServer,Verified Server,Доверенный сервер
lblVendor,Vendor,Продавец
lblWaitingForServerApproval,Waiting for server approval...,Ожидайте подтверждение сервера ...
lblWidthdraw:,Withdraw:,Снять:
lblYourTasks:,Tasks:,Задачи:
Source Quality:,Source Quality:,Качество источника:
lscPreAlphaBody,"- A whole solar system with more planets (in later development, a whole procedurally generated galaxy)\n- Bigger planets and much more distance between planets\n- No multiplayer restrictions any more, dedicated servers and full PvP support\n- No restriction",- Полноценная солнечная система (в дальнейшем развитии полностью процедурно генерируемая галактика)\n- Планеты большего размера и большие расстояния между ними\n- Отсутствие ограничений сетевой игры / выделенные сервера с полной поддержкой PvP.\n- Отсутствие непроходимых стен
lscPreAlphaHeader,This version is still in Pre-Alpha and has some limitations!,Это пре-альфа версия игры и она имеет некоторые ограничения
lscPreAlphaLine1,What to expect from the Alpha:,Что будет реализовано в последующих версиях:
lscPreAlphaLink,"For more information about the limitations and our roadmap, please visit our website http://empyriongame.com/roadmap",Чтобы узнать больше о текущих ограничениях и ознакомиться с нашим планом работ посетите наш сайт http://empyriongame.com/roadmap
lpsAlienWorld,Alien worlds are full of hidden dangers,Чужие миры полны скрытых опасностей.
lpsAlienWorld2,Your armor protects you against environmental hazards,Ваша броня защищает вас от множества опасностей
lpsArachnids,Beware of dangerous Arachnids on desert planets,Остерегайтесь опасных арахнидов на засушливых планетах
lpsAsteroidField,It pays out to capture a freighter and loot its cargo,Выгодно захватить грузовое судно и забрать его груз
lpsAsteroidsSathium,Be careful when you traverse an asteroid field,Будьте осторожны при путешествии через поле астероидов
lpsBaseAttack,Prepare your base against deadly base attack drones,Подготовьте свою базу к периодическим атакам смертоносных дронов
lpsBaseInWater,A base in the water makes oxygen production easier,База в воде делает производство кислорода проще
lpsBaseOnMountain,Watch out for outposts that can contain useful equipment,В найденных форпостах можно найти много ценного.
lpsBeWellPrepared,Be well prepared for the next adventure,Будьте готовы к следующему приключению
lpsCivilians,Visit trading stations and the aliens that hang around there,"Посетите торговые станции и пришельцев, которые там находятся"
lpsComfortableHome,Make yourself comfortable at home,Комфорт дома - в ваших руках
lpsDangerousCreatures,Be prepared to engage some creepy creatures,Приготовьтесь встретить различных жутких существ
lpsDrillModule,Use your drill module for mining on a planet,Используйте ваш буровой модуль для добычи руды на планете
lpsDropship,Use a dropship to deploy troops on a planet,Используйте челноки для высадки войск на планету
lpsEdiblePlants,Find out which plants are edible,Ищите съедобные растения
lpsErestrumOnIce,Snow planets are the home of the dangerous Ice Golems,Ледяные планеты являются обиталищем опасных Ледяных Големов.
lpsEscapePod,Don't forget to take your belongings from the escape pod,Не забудьте забрать ваши вещи из спасательной капсулы
lpsExploreVessel,Use your small vessel for fast exploration,Используйте ваше малое судно для быстрой разведки
lpsFancyHome,Build yourself a fancy home,Проявите фантазию при постройке вашего дома
lpsFindGoodSpot,Find a good spot for your base,Найдите хорошее место для вашей базы
lpsForestPlanet,Forest planets are the home of dangerous spiders,Лесные планеты - дом опасных пауков
lpsHelmetAtmo,Take off your helmet in breathable atmospheres to save oxygen,Снимите шлем в пригодной для дыхания атмосфере чтобы сэкономить кислород
lpsHelmetForDiving,For diving you need to wear your helmet,"Чтобы плавать под водой, вы должны надеть шлем."
lpsHoverVessel,Hover vessels can serve as heavy combat tanks,Парящие суда могут служить как тяжелые боевые танки.
lpsLootPOI,Be sure to search for valuable loot in POIs,"Будьте уверены, в ТИ вы найдете много ценного."
lpsMechanoid,Mechanoid robots can be deadly opponents,Механоиды могут быть смертельными противниками
lpsMotorbike,Your motorbike is useful for fast exploration,Ваш мотоцикл полезен для быстрой разведки.
lpsNightVision,Use your night vision goggles to see the enemy before he sees you,"Используйте очки ночного видения, чтобы увидеть врага, прежде чем он увидит вас"
lpsNonHostileCreatures,Not all creatures are hostile,Не все существа враждебны
lpsOrbitalStation,Visit interesting orbital stations,Посетите интересные орбитальные станции
lpsOutside,"Before you venture outside, make sure that the coast is clear",Перед тем как выходить наружу - убедитесь что там безопасно
lpsOverseers,Alien bugs can spread dangerous diseases,Инопланетные насекомые могут распространять опасные болезни
lpsOxygenSupply,Always be sure to have enough oxygen supply,Убедитесь что имеете достаточные запасы кислорода
lpsPassenger,Use passenger seats to give your buddy a ride,Используйте пассажирские места для перевозки других игроков
lpsPlanetVessel,AI planet vessels can have devastating fire power,Суда планетарной разведки могут иметь разрушительную огневую мощь
lpsPortal,Portals connect you to hidden and mysterious worlds,Порталы соединяют вас со скрытыми и таинственными мирами
lpsPrepareForNight,Be prepared for the night,Будьте готовы к ночи.
lpsRadiatedFog,Be sure to find shelter when radiated fog is appearing,"Не забудьте найти убежище, когда появляется радиационный туман"
lpsRadiation,Radiation is merciless,Радиация беспощадна
lpsRadiation2,Radiated fog can be deadly,Радиоактивный туман может быть смертельным
lpsRain,The weather can change fast on temperate planets,Погода может быстро изменяться на умеренных планетах
lpsRaptors,Raptors are fast and deadly predators,Ящеры очень быстрые и смертельно опасные хищники.
lpsResourceAsteroids,Asteroids provide you with valuable resources,Астероиды предоставят вам ценные ресурсы.
lpsSpaceDrone,Be sure to loot the wreckage of space drones after destruction,Обязательно забирайте всё нужное из обломков космических дронов после уничтожения
lpsSpaceNebula,Space nebula can be of stunning beauty,Космическая туманность может быть ошеломляющей красоты
lpsStrangePlants,Watch out for strange plants on lava planets,Остерегайтесь странных растений на планетах лавы
lpsSurvivalConstructor,The oxygen generator is your life insurance,Генератор кислорода поможет вам выжить.
lpsTemperatePlanetAtmo,Temperate planets often have a breathable atmosphere,Планеты с умеренным климатом часто имеют атмосферу пригодную для дыхания
lpsTradingStation,Trading stations are entertaining places,Торговые станции это развлекательные площадки
lpsTroopTransport,Alien troop transports can bring deadly reinforcement,Транспорт инопланетян может привезти смертоносное подкрепление.
lpsTurretDrill,Use your turret drill for asteroid mining,Используйте добывающие турели для разработки ископаемых на астероидах.
lpsUseSpotlights,Use spotlights to explore during night,Используйте прожекторы для исследования ночью
lpsWellEquipped,Be well equipped in your base,Хорошо оснастите вашу базу.
lpsWreckage,Be well equipped in your base,Обломки структур ТИ помогут вам выжить вначале
Barren,Barren,Бесплодная
Current / Mean Temperature:,Current / Mean Temperature:,Текущая / средняя температура:
Current Target,Current Target,Текущая цель
Desert,Desert,Пустыня
Difficulty,Difficulty,Сложность
Difficulty:,Difficulty:,Сложность:
Distance,Distance,Расстояние
Gravity,Gravity,Гравитация
Lava,Lava,Лава
Length of Day:,Length of Day:,Длительность дня:
Lock Target,Lock Target,Фикс. цель
Mode,Mode,Режим
Mode:,Mode:,Режим:
PvE,PvE,PvE
PvP,PvP,PvP
Resources,RESOURCES,РЕСУРСЫ
Snow,Snow,Снег
Space,Space,Космос
Temperate,Temperate,Умеренная
Type,Type,Тип
mapAtmoDensity,Atmosphere Density:,Плотность атмосферы:
mapAtmosphereO2,O2 Content / Breathable:,Содержание O2 / Можно дышать:
mapDescription,DESCRIPTION,ОПИСАНИЕ
mapDistance,Distance:,Расстояние:
mapIcon,Icon,Значок
mapLineOrange,15 - 20 AU,15 - 20 а.е.
mapLineRed,20 - 25 AU,20 - 25 а.е.
mapLineWormhole,Wormhole,Червоточина
mapLineYellow,< 15 AU,< 15 а.е.
mapMarkersHeader,MAP MARKERS,МАРКЕРЫ КАРТЫ
mapO2ContentBreathable,O2 Content / Breathable:,Содержание O2 / Можно дышать:
mapPlanetInfoHeader,PLANET INFO,ИНФОРМАЦИЯ О ПЛАНЕТЕ
mapRadiation,Radiation:,Радиация:
mapTempMinMax,Temperature (Min/Max):,Температура (Мин/Макс):
mapWeather,Weather:,Погода:
mpwMapTitle,MAP,КАРТА
mpwMarketplaceTitle,MARKETPLACE,РЫНОК
mnuActions,Actions,Действия
mnuAmbientVolume,Ambient Volume,Звук окружения
mnuAmountofOre,Amount of Ore per Deposit:,Количество руды на месторождение:
mnuApply,Apply,Применить
mnuAspectRatioHint,(Only resolutions with native aspect ratio (marked with *) can be used for Fullscreen mode),(Только разрешения с пропорциями отмеченными * могут быть использованы в полноэкранном режиме)
mnuAsteroids,Asteroids:,Астероиды:
mnuBlockCount_b,Block Count:,Количество блоков:
mnuBloom,Bloom,Свечение
mnuBrightness,Brightness,Яркость
mnuCelcius,Celsius,Цельсий
mnuCharacterTextureResHalf,Half,Половинное
mnuCharacterTextureResMax,Max,Максимальное
mnuCharacterTextureResolution,Character Texture Resolution,Разрешение текстур персонажа
mnuCharacterTextureResQuarter,Quarter,Четвертное
mnuConstructorCraftSpeed,Constructor Craft Speed:,Скорость производства Конструктором:
mnuContent,Content,Содержимое
mnuContrast,Contrast,Контраст
mnuCustom,Custom,Собственный
mnuDecoDistance,Deco Distance,Дистанция декораций
mnuDecoDistanceFar,Far,Далеко
mnuDecoDistanceMedium,Medium,Средне
mnuDecoDistanceNear,Near,Близко
mnuDegredation,Degradation Speed:,Скорость деградации:
mnuDeposits,Deposits:,Месторождения:
mnuDescription,Description,Описание
mnuDifficultyPreset,Difficulty Preset:,Шаблон сложности:
mnuDifficultySettings,Difficulty Settings:,Настройки сложности
mnuDroneBaseAttack,Drone Base Attack:,Атаки базы дронами:
mnuEAC,Start with EAC:,Запускать с EAC:
mnuEnemyDifficulty,Enemy Difficulty:,Сложность противников:
mnuEscapePodContent,Start Equipment:,Стартовое снаряжение:
mnuFacebook,Facebook,Facebook
mnuFahrenheit,Fahrenheit,Фаренгейт
mnuFOV,FOV,Поле зрения
mnuFramerate,Max Framerate,Макс. частота кадров
mnuGameOptionsTitle,GAME OPTIONS,НАСТРОЙКИ ИГРЫ
mnuGamma,Gamma,Гамма
mnuGrassDistance,Grass Distance,Дистанция травы
mnuGrassDistanceFar,Far,Далеко
mnuGrassDistanceMedium,Medium,Средне
mnuGrassDistanceNear,Near,Близко
mnuHoverLabelEAC,This determines if Empyrion is started the next time with or without EAC protection (requires restart of Empyrion),"Определяет, будет ли игра запускаться с включенным EAC (Easy Anti Cheat). Для применения требуется перезапуск игры."
mnuHoverLabelIngameHints,Here you can choose to have in-game hints in Survival mode enabled or disabled.,Здесь можно указать необходимость получения внутриигровых подсказок в режиме Выживания.
mnuHoverLabelServerPort,This is the port if you are the server in a multiplayer game.,"Это номер порта для случая, когда вы являетесь сервером в многопользовательской игре."
mnuHoverLabelTempFormat,This determines if the temperature is shown in Celsius or Fahrenheit,"Это определяет как будет показана температура, в Цельсиях или Фаренгейтах."
mnuIntro Akua,"[c][d29818]Difficulty: Easy[-][/c]\nAkua is a temperate planet with vast oceans, volcanic islands and large continents with mountain ranges. It has a breathable atmosphere. The average temperature is 23°C and gravity amounts to 0.84g.","[c][d29818]Сложность: Легко[-][/c]\nАкуа - умеренная планета с обширными океанами, вулканическими островами и большими континентами, имеющими горные хребты. Обладает пригодной для дыхания атмосферой. Средняя температура 23°C и сила тяжести 0.84 g."
mnuIntro Masperon,"[c][d29818]Difficulty: Hard[-][/c]\nMasperon is a very hostile but beautiful alien planet with mountain ranges, lakes and plains lying in the fog. The atmosphere is not breathable or at least no human ever tried it. However, oxygen can be generated from the water of the hidden lakes. Some resources can only be found in POIs. [c][e02020]Be warned, choosing this planet as the survival start is recommended for very experienced players only.[-][/c]","[c][d29818]Сложность: Высокая[-][/c]\nМасперон очень враждебная но красивая чужая планета с горными хребтами, озерами и равнинами лежащими в тумане. Атмосфера не пропускает воздух или по крайней мере ни один человек никогда не пробовал. Тем не менее кислород может быть получен из воды в скрытых озерах. Некоторые ресурсы могут быть найдены только в POI. [c][e02020] Имейте в виду выбирать эту планету рекомендуется только для очень опытных игроков.[-][/c]"
mnuIntro Ningues,"[c][d29818]Difficulty: Medium[-][/c]\nNingues is an ice planet with steep mountains, large plains and hot springs. There is no breathable atmosphere but oxygen can be generated from the snow. [c][e02020]Be warned, choosing this planet as the survival start is recommended for experienced players only.[-][/c]","[c][d29818]Сложность: Средняя[-][/c]\nНингус - ледяная планета с высокими горами, широкими равнинами и горячими источниками. Пригодной для дыхания атмосферы нет но кислород может быть сгенерирован из снега. [c][e02020]Внимание: Выбор этой планеты в качестве начальной рекомендован только опытным игрокам.[-][/c]"
mnuIntro Omicron,"[c][d29818]Difficulty: Medium[-][/c]\nOmicron is a desert planet with mountain ranges, lakes, plains and rugged terrain. The atmosphere is relatively thin and non breathable. However, oxygen can be generated from the water of the lakes. [c][e02020]Be warned, choosing this planet as the survival start is recommended for experienced players only.[-][/c]","[c][d29818]Сложность: Средняя[-][/c]\nОмикрон - пустынная планета с горными хребтами, озерами, равнинами и пересеченной местностью. Атмосфера относительно тонка и непригодна для дыхания. Тем не менее кислород можно добывать из воды озер.\n[c][e0e020]Внимание: Выбор этой планеты в качестве начальной рекомендован только опытным игрокам.[-][/c]"
mnuIntro Omicron Orbit,The space around the planet Omicron contains a small asteroid field and an abandoned research facility.,Пространство вокруг планеты Омикрон содержит маленькое астероидное поле и заброшенную исследовательскую станцию.
mnuManualCompletionHint,(* = can be manually completed),(* = может быть закончено вручную)
mnuMaxLOD,LOD Quality,Качество LOD
mnuMaxLODHigh,High,Высокое
mnuMaxLODLow,Low,Низкое
mnuMaxLODMedium,Medium,Среднее
mnuMeteoritesDepletion,Meteorites (Depletion):,Метеориты (При истощении):
mnuMeteoritesRandom,Meteorites (Random):,Метеориты (Случайно):
mnuNewGameName,NewGame,Новая игра
mnuNoBlueprints,No Blueprints,Нет чертежей
mnuNoBlueprintSelected,No Blueprint selected,Чертежи не выбраны
mnuNoBpInFactory,No Blueprint in Factory,Нет чертежа на фабрике
mnuNumberofDeposits,Number of Deposits:,Число месторождений:
mnuOverallDronePresence,Overall Drone Presence:,Общая плотность дронов:
mnuPDA,PDA,КПК
mnuPlayerProgression,Player Progression:,Прогресс игрока:
mnuQualityBest,Best Quality: Shadow of lights enabled. High-res textures. High-res reflection probe for water. Maximum rendering distance for decorations and highest grass density. Best quality for LODs.,Отличное качество: тени от источников освещения включены. Текстуры высокого разрешения. Отражения высокого разрешения. Максимальное расстояние рендеринга декораций и высочайшая плотность травы. Лучшее качество для LOD-текстур.
mnuQualityFast,Least Quality: Shadow of lights disabled. Medium-res textures. Low-res reflection probe for water. Lowest rendering distance for decorations and lowest grass density. Low quality for LODs.,Низкое качество: тени от источников освещения выключены. Текстуры среднего разрешения. Отражения низкого разрешения. Низкое расстояние отображения декораций и низкая плотность травы. Низкое качество LOD-текстур.
mnuQualityGood,Good Quality: Shadow of lights disabled. High-res textures. High-res reflection probe for water. Medium rendering distance for decorations and medium grass density. Medium quality for LODs.,Хорошее качество: тени от источников освещения выключены. Текстуры высокого разрешения. Отражения высокого разрешения. Среднее расстояние отображения декораций и средняя плотность травы. Среднее качество LOD-текстур.
mnuQualityPreset,Quality Preset,Шаблон качества
mnuRateofNPCSpawn,Rate of NPC Spawn:,Скорость возрождения НИП:
mnuReflections,Sky Reflections Quality,Качество отражений неба
mnuReflectionsHigh,High,Высокое
mnuReflectionsLow,Low,Низкое
mnuReflectionsMedium,Medium,Средние
mnuReflectionsOff,Off,Выкл.
mnuResolution,Resolution,Разрешение
mnuResourceIntake,Intake,Ресурсозаборник
mnuRespawnHomeInfo,Respawn at your home base on {0}.\n[c][1eab11]This is a safe option for respawning.[-][/c],Возрождение на основной базе через {0}.\n[c][1eab11]Это безопасный вариант для возрождения.[-][/c]
mnuRespawnHomeMoving,Your home base may not move,Ваша основная база не может двигаться
mnuRespawnHomeNoSpawnPoint,Your home base has no medic station,Ваша основная база не имеет медицинской станции
mnuRespawnHomeUndef,Cannot spawn on your home base,Невозможно возродиться на вашей основной базе
mnuRespawnNotFound,Your home base was not found,Ваша основная база не найдена
mnuRespawnWrongFaction,Your home base has the wrong faction,Ваша основная база имеет неправильную фракцию
mnuRespFreshStartTitle,Fresh Start,Бодрый старт
mnuRespHomeTitle,Home Base,Основная база
mnuRespLocalDesc,Respawn near your death location.\n[c][d23b18]WARNING: You might re-spawn in deadly environment again.[-][/c],Возродиться рядом с местом вашей смерти.\n[c][d23b18]ПРЕДУПРЕЖДЕНИЕ: Вы можете снова появиться в опасной зоне.[-][/c]
mnuRespLocalTitle,Current Location,Текущее местоположение
mnuRespNearSpawnPointDesc,Respawn at {0}.\n[c][1eab11]This is a safe option for respawning.[-][/c],Возродиться в {0}.\n[c][1eab11]Это безопасный вариант возрождения.[-][/c]
mnuRespNearSpawnPointTitle,Nearest Medic Station/Clone Chamber,Ближайшая медицинская станция / камера клонирования
mnuScenario,Scenario:,Сценарий:
mnuShadows,Shadow Quality,Качество теней
mnuShadowsHigh,High,Высокое
mnuShadowsLow,Low,Низкое
mnuShadowsMedium,Medium,Среднее
mnuShadowsOff,Off,Выкл.
mnuSharpen,Image Processing,Обработка изображения
mnuSizeWHD:_,Size (WxHxD):,Размер (ШхВхГ):
mnuSrc,Src,Ист.
mnuSSAO,SSAO,SSAO
mnuSSRR,Screen Space Reflections,Отражения в экранном пространстве
mnuStartWorldChangeDefault,You will restart the game on {0}.,Вы перезапустите игру на {0}.
mnuStartWorldChangeEscapePod,You will re-restart the game on {0} in your escape pod.,Вы перезапустите игру на {0} в вашей спасательной капсуле.
mnuStartWorldChangeStructure,You will restart the game on {0} at {1}.,Вы перезапустите игру на {0} до {1}.
mnuStartWorldWarning,[c][ff4040]Note: All other players will lose their inventory and get respawned with you.[-][/c],[c][ff4040]Сообщение: Все остальные игроки потеряют свой инвентарь и будут возрождены вместе с вами.[-][/c]
mnuStructuresAvailable,Structures Used:,Использованные структуры:
mnuTempFormat,Units of Temperature,Единицы температуры
mnuTempRadImpact,Temperature / Radiation Impact:,Влияние температуры / излучения:
mnuTextureResHalf,Half,Половинное
mnuTextureResMax,Max,Максимальное
mnuTextureResolution,Texture Resolution,Разрешение текстур
mnuTitleBlueprints,Blueprints,Чертежи
mnuTitleInfos,Info,Описания
mnuTitleResourcesAndTime,Resources / Time,Ресурсы / Время
mnuTitleServerConfig,Server Configuration,Конфигурация сервера
mnuTopics,Topics,Разделы
mnuTutorial,START TUTORIAL,СТАРТ ОБУЧЕНИЯ
mnuTutorialName,Tutorial,Обучение
mnuTwitter,Twitter,Twitter
mnuVSync,VSync,Вертикальная синхронизация
mnuWindowDarkening,Background Darkening:,Затенение фона:
mnuWorkshop,Workshop,Мастерская
mnuWorldAtmoDensity,Atmosphere Density:,Плотность атмосферы:
mnuWorldDifficulty,Difficulty:,Сложность:
mnuWorldGravity,Gravity:,Гравитация:
mnuWorldMode,Mode:,Режим:
mnuWorldOrigin,Origin:,Источник:
mnuWorldRadiation,Radiation:,Радиация:
mnuWorldTemp,Temperature (Min/Max):,Температура (Мин/Макс):
mnuWorldType,Type:,Тип:
mnuWorldWeather,Weather:,Погода:
mnuBpName_b,Name:,Имя:
mnuBpType_b,Type:,Тип:
msgAEnteredB,Player {0} entered {1},Игрок {0} вошел: {1}
msgAEnteredGame,Player {0} entered the game,Игрок {0} вошел в игру
msgAHasBeenKilled,{0} has been killed,{0} был убит
msgAKilledB,{0} killed {1},{0} убивает {1}
msgALeftB,Player {0} left {1},Игрок {0} покинул: {1}
msgALeftGame,Player {0} left the game,Игрок {0} покинул игру
msgFeatureDisabledInExperimental,Feature is currently disabled in Experimental version,Возможность на данный момент в экспериментальной версии выключена
msgInternalErrorOccured,An internal error occurred!\nPlease insert a short description in the prepared email - thank you!,"Произошла внутренняя ошибка!\nПожалуйста, вставьте описание ошибки в подготовленное письмо - спасибо!"
msgPdaChapterDeactivated,{0} has been deactivated.\nReactivate in PDA ({keybind(PDA)}) to start again.,{0} выключено.\nВключите в КПК ({keybind(PDA)}) чтобы опять начать.
msgSignalName_X_AlreadyUsed,Signal name '{0}' is already used,Имя сигнала '{0}' уже используется
msgWantoToSellXItemsWithYFee,You want to sell {0}x '{1}' for {2}.\nThe Marketplace fee will be {3} which cannot be refunded.,Вы хотите продать {0}x '{1}' за {2}.\nРыночная комиссия составит {3} невозвратного взноса.
otwFillOxygen,Fill Oxygen,Заполнить кислородом
otwNumberofTanks,Number of Tanks:,Количество баков:
otwOxygen,Oxygen,Кислород
otwTotalCapacity,Total Capacity:,Общая емкость:
otwTotalContent,Total Content:,Общее содержание:
otwWithdraw,Withdraw Oxygen,Выкачать кислород
pdaShowHud,Show in HUD,Показывать в интерфейсе
pdaChapter,Chapter,Глава
pdaFAQ,FAQ,ВИО
pdaMission,Mission,Миссии
pdwPDATitle,PDA,КПК
placeEverywhere,All Objects,Все объекты
ArmorHeavy,Heavy Armor,Тяжелая броня
ArmorHeavyEpic,Epic Heavy Armor,Эпическая тяжелая броня
ArmorLight,Light Armor,Легкая броня
ArmorLightEpic,Epic Light Armor,Эпическая легкая броня
ArmorMedium,Medium Armor,Средняя броня
ArmorMediumEpic,Epic Medium Armor,Эпическая средняя броня
EVABoost,EVA Boost,Усилитель - Космос
EVABoostEpic,Epic EVA Boost,Эпический усилитель - Космос
InsulationBoost,Insulation Boost,Усилитель - Герметичность
InsulationBoostEpic,Epic Insulation Boost,Эпический усилитель - Герметичность
JetpackBoost,Jetpack Boost,Усилитель - Джетпак
JetpackBoostEpic,Epic Jetpack Boost,Эпический усилитель - Джетпак
MobilityBoost,Mobility Boost,Усилитель - Мобильность
MobilityBoostEpic,Epic Mobility Boost,Эпический усилитель - Мобильность
MultiBoost,Multi Boost,Усилитель - Общий
MultiBoostEpic,Epic Multi Boost,Эпический усилитель - Общий
OxygenBoost,Oxygen Tank Boost,Усилитель - Кислород
OxygenBoostEpic,Epic Oxygen Tank Boost,Эпический усилитель - Кислород
RadiationBoost,Radiation Protection Boost,Усилитель - Радиация
RadiationBoostEpic,Epic Radiation Protection Boost,Эпический усилитель - Радиация
NightVision,Night Vision Goggles,Очки ночного зрения
GenderBender,Use Male Armor,Использовать мужскую броню
pswBodyStyles,Body Type:,Телосложение:
pswExtraColor,Extra Color:,Доп. цвет:
pswFace,Face:,Лицо:
pswFaceStyles,Beard Style:,Растительность на лице:
pswFemale,Female,Женский
pswGender,Gender:,Пол:
pswHairColor,Hair Color:,Цвет волос:
pswHairStyles,Hair Style:,Стиль волос:
pswMainColor,Main Color:,Осн. цвет:
pswMale,Male,Мужской
pswPlayerName,Player Name:,Имя игрока:
pswSkinColor,Skin Color:,Цвет кожи:
pswZoom,Zoom,Приблизить
plwArmorHint,You must use the Armor Locker to change Armors,Вы должны использовать Шкаф амуниции для смены брони
plwPlayerTitle,PLAYER,ИГРОК
Alien_artifact_obelisk,Alien Artifact,Артефакт инопланетян
Asteroid_resource01,Asteroid,Астероид
BA_AbandonedFactory,Abandoned Factory,Заброшенная фабрика
BA_AbandonedMine,Abandoned Mine,Заброшенная шахта
BA_AlienTower1,Alien Tower V1,Башня инопланетян тип 1
BA_AlienTower2,Alien Tower V2,Башня инопланетян тип 2
BA_AlienTower3,Alien Tower V3,Башня инопланетян тип 3
BA_AlienTower4,Alien Tower V4,Башня инопланетян тип 4
BA_Archeology-CivilSettlement-B,Excavation site,Место раскопок
BA_BG-Central-Hub-Cluster,Large Outpost,Большая застава
BA_BG-Farm-Cluster,Farm,Ферма
BA_BG-Research-Cluster-A,Research Outpost Alpha,Исследовательская застава Альфа
BA_BG-Research-Cluster-B,Research Outpost Beta,Исследовательская застава Бета
BA_BG-Residential-Cluster,Residential Complex,Жилой комплекс
BA_BG-Shuttle-Hub-Cluster,Small Outpost,Маленькая застава
BA_CivilSettlement-A,Supply Station,Станция снабжения
BA_CivilSettlement-B,Large Residential Complex,Большой жилой комплекс
BA_Dead8Eye-HQ,Alien Base,База инопланетян
BA_DroneBase_Norvena,Drone Base,База дронов
BA_DroneBase_Pharos,Drone Base,База дронов
BA_DroneBase_Savinwraith,Drone Base,База дронов
BA_Epsilon_DroneBase,Drone Base,База дронов
BA_EpsilonAdvComCenter,Epsilon ComCenter MKII,Центр связи Эпсилон MKII
BA_EpsilonAdvFortress,Epsilon Fortress MKII,Укрепление Эпсилон MKII
BA_EpsilonAdvOutpost,Epsilon Outpost MKII,Аванпост Эпсилон MKII
BA_EpsilonAdvSpaceport,Epsilon Spaceport MKII,Космопорт Эпсилон MKII
BA_EpsilonComCenter,Epsilon ComCenter MKI,Центр связи Эпсилон MKI
BA_EpsilonDefenceI,Epsilon Defence I,Блокпост Эпсилон I
BA_EpsilonDefenceII,Epsilon Defence II,Блокпост Эпсилон II
BA_EpsilonDroneFactory,Epsilon Weapon Factory,Оружейная фабрика Эпсилон
BA_EpsilonFactory,Epsilon Factory,Фабрика Эпсилон
BA_EpsilonFortress,Epsilon Fortress MKI,Укрепление Эпсилон MKI
BA_EpsilonKraftwerk,Epsilon Power Station,Электростанция Эпсилон
BA_EpsilonOutpost,Epsilon Outpost MKI,Аванпост Эпсилон MKI
BA_EpsilonSpaceport,Epsilon Spaceport MKI,Космопорт Эпсилон MKI
BA_GhostAdvDronePort,Ghost Drone Port MKII,Станция дронов Ghost MKII
BA_GhostAdvPowerStation,Ghost Power Station MKII,Электростанция Ghost MKII
BA_GhostAdvStealth,Ghost Stealth MKII,Укрытие Ghost MKII
BA_GhostAdvSupport,Ghost Support MKII,Оплот Ghost MKII
BA_GhostDronePort,Ghost Drone Port MKI,Станция дронов Ghost MKI
BA_GhostPowerStation,Ghost Power Station MKI,Электростанция Ghost MKI
BA_GhostRider_DroneBase,Drone Base,База дронов
BA_GhostRiderBaseI,Ghost Rider Base I,База Ghost Rider I
