KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
acttitleEliaStartIVStartBoss,Find and clean the Cargo floor,,,,,,,,Найти и зачистить грузовой этаж,,,,,,,,
actdescEliaStartIVStartBoss,\nOnly if every alien is gone you can go on but be prepared for the Cargo floor! And in case you need it - [c][ff6600]5331[-][/c] is your door code for your private appartment.\nThe lock code for the boss door is [c][ff6600]1337[-][/c]. Good luck!,,,,,,,,"Только если все инопланетяне ушли, вы можете идти дальше, но будьте готовы к грузовому этажу! И в случае, если вам это нужно - [ff8000]5331[-] - это код вашей двери в частную квартиру.\nКод блокировки двери босса [ff8000]1337[-]. Удачи!",,,,,,,,
completeEliaMissionIV,Unknown Voice: The crew is all gone already... but thank you for the revenge! Now start your way towards Danos Planet!,,,,,,,,[ff8000]Неизвестный голос:[-] Экипаж уже ушел... но спасибо за месть! Теперь начните свой путь к планете Данос!,,,,,,,,
chptitleSurvivalBasecamp,Maiy Mission I,Maiy Mission I,,,,,,,Майя Миссия I,,,,,,,,
preambleMaiyStart,You barely escaped with the last escape pod from the Ex-7 Station. However you got split from the rest of your crew and need to survive on that planet now. You only heard rumors about Aliens and some circumstances from other explorers on Maiy.,,,,,,,,Вы едва сбежали с последней спасательной капсулой со станции Ex-7. Однако вы отделены от остальной части вашей команды и вам нужно выжить на этой планете сейчас. Вы слышали только слухи об пришельцах и некоторых обстоятельствах от других исследователей на Майя.,,,,,,,,
chpdescSurvivalBasecamp,"The first mission will teach you how to manage your stuff, find food and oxygen, set up your first crafting table, create a better weapon and more.\n\nIn short: it will help you to survive the first hours of the game!\n\nEach mission contains a number of main- and sub-tasks to follow as well as valuable background info and tips at the end of each task-page.\n\nFore more details please refert to the PDA Knowledgebase! \n\n[c][ff6600]You can always activate and deactivate each mission manually![-][/c]","Dir ist gerade noch so die Flucht in der letzten Fluchtkapsel von der Ex-7 Station gelungen. Allerdings wurdest du von deinem Team getrennt und bist jetzt auf dich allein gestellt auf dem Planeten.\nDu hast nur Gerüchte von Aliens und Schwierigkeiten von anderen Erkundern auf Maiy gehört.\nDas erste Mission dieser Übungseinheit wird dir zeigen, wie du deine Ausrüstung organisiert, wie du an Nahrung und Sauerstoff kommst, deine ersten Gegenstände herstellst und vieles mehr um die ersten Spielstunden zu überstehen.\n\nJedes Mission enthält eine Reihe von Haupt- und Nebenaufgaben die du erfüllen musst. Am Ende jeder Aufgabe findest du Tipps, die dir weiterhelfen können.\n\nWeitere Informationen findest du in der PDA Wissensdatenbank!\n\n[c][ff6600]Du kannst jedes Mission jederzeit von Hand  aktivieren und deaktivieren[-][/c]",,,,,,,"Первая миссия научит вас, как управлять своими вещами, находить еду и кислород, настраивать свой первый стол для крафта, создавать лучшее оружие и многое другое.\n\nКороче говоря: это поможет вам выжить в первые часы игры!\n\nКаждая миссия содержит ряд основных заданий и подзадач, а также ценную справочную информацию и советы в конце каждой страницы задачи..\n\nДля более подробной информации, пожалуйста, обратитесь к базе знаний КПК! \n[[ff0000]примечание переводчика: по ряду причин пришлось полностью удалить базу ВиО. возможно потом база знаний будет восстановлена[-]]\n\n[ff6600]Вы всегда можете активировать и деактивировать каждую миссию вручную![-]",,,,,,,,
tasktitleCheckStartEquipment,Check your Starting Equipment,Prüfe deine Startausrüstung,,,,,,,Проверьте ваше стартовое снаряжение,,,,,,,,
taskheadCheckStartEquipment,Check your starting equipment from Escape Pod,Prüfe deine Startausrüstung der Notlandekapsel,,,,,,,Проверьте ваше стартовое снаряжение из Спасательной капсулы,,,,,,,,
acttitleOpenEscPod,Open Escape Pod Inventory,Kapsel Inventar öffnen,,,,,,,Откройте инвентарь Спасательной капсулы,,,,,,,,
actdescOpenEscPod,"Access Escape Pod inventory by aiming at it and pressing 'F'.\n\n[b]Hint:[/b] Any device in Empyrion can be accessed by hitting 'F'.\n\n[b]To change the keys, just remap them via OPTIONS > CONTROLS ![/b]","Greife auf das Inventar der Notlandekapsel zu indem du darauf schaust und 'F' drückst.\n\n[b]Tipp:[/b] Der Zugriff auf jedes Gerät in Empyrion erfolgt auf diese Weise.\n\n[b]Um die Tasten zu ändern, belege sie unter OPTIONEN > STEUERUNG einfach neu![/b]",,,,,,,"Войдите в инвентарь Спасательной капсулы, наведя на нее курсор и нажав [ff8000]F[-].\n\n[b]Подсказка:[/b] любое устройство в Empyrion можно открыть, нажав [ff8000]F[-].\n\n[b]Чтобы изменить клавиши, просто переназначьте их через Опции > Управление![/b]",,,,,,,,
acttitleGrabEquipment,Grab your Equipment,Ausrüstung mitnehmen,,,,,,,Заберите снаряжение,,,,,,,,
actdescGrabEquipment,"There is a 'Collect All' arrow on the top right edge of the escape capsule inventory. Click it and all the stuff will be moved to your player inventory!\n\n[b]Important:[/b] Pick up ALL the stuff, because the capsule will DESPAWN after a few minutes. Items that are left in the inventory will be LOST!\n\n[u]Tips:[/u]\n- Move the Pistol, Drill, Chainsaw, Small Medikit and other devices like the Survival Constructor to your toolbar. You'll need those items soon.\n- You can easily move any item with SHIFT-LeftMouse-click between your toolbar and your inventory.\n- You do not need to add ammo or charges to your toolbar, weapons and tools will be reloaded from your inventory.\n-You can consume items like food or consumables from your toolbar (Place them in a free slot and use LeftMouse-Click) OR from your inventory as well (SHIFT-RightMouse-Click on an item)\n- Blocks or devices you want to place  have to be moved to the toolbar.","Beachte den 'Nimm alles'-Pfeil rechts oben des Notlandekapsel-Inventars. Klcike auf diesen, um alle Elemente in dein Spieler-Inventar zu verschieben!\n\n[b]Wichtig:[/b] Nimm ALLE Gegenstände aus der Kapsel, denn diese verschwindet nach kurzer Zeit. Alles was dann noch im Inventar der Kapsel ist, geht dir verloren!\n\n[b]Tipps[/b]\n- Verschiebe die Pistole, Bohrer, Kettensäge sowie das kleine MediKit und andere Items wie den Survival Constructor in deine Toolbar. Du brauchst diese Sachen bald.\n- Du kannst einzelne Gegenstände und ganze Stapel auch mittels SHIFT-Linke-Maustaste-Klick zwischen deiner Toolbar und dem Inventar hin- und her verschieben.\n- Munition oder Ladungen für Werkzeuge brauchst du nicht in die Toolbar verschieben, Waffen und Werkzeuge werden direkt aus deinem Inventar nachgeladen.\n- Essen oder andere Verbrauchsgegenstände kannst du entweder in deine Toolbar ablegen und benutzen (Linke-Maustaste-Click) ODER direkt aus dem Inventar (SHIFT+RechteMaustaste)\n- Blocks oder Geräte die du platzieren willst, musst du ebenfalls vorher in die Toolbar gelegt haben.",,,,,,,"В правом верхнем углу инвентаря спасательной капсулы есть стрелка [ff8000]Собрать все[-]. Нажмите на нее, и все вещи будут перемещены в инвентарь вашего игрока!\n\n[b]Важно:[/b] соберите [b]ВСЕ[/b] вещи, потому что капсула будет [b]УДАЛЕНА[/b] через несколько минут. Предметы, оставленные в инвентаре, будут потеряны!\n\n[u][b][i]Подсказки:[/i][/b][/u] \n- Переместите пистолет, бур, бензопилу, малую аптечку и другие устройства, такие как Аварийный конструктор, на свою панель инструментов. Вам скоро понадобятся эти предметы.\n- Вы можете легко перемещать любой элемент с помощью SHIFT+ЛКМ между панелью инструментов и вашим инвентарем.\n- Вам не нужно добавлять патроны или заряды на панель инструментов, оружие и инструменты будут перезаряжаться из вашего инвентаря.\n- Вы можете потреблять такие предметы, как продукты питания или расходные материалы, с панели инструментов (поместите их в свободный слот и используйте ЛКМ) ИЛИ из своего инвентаря (SHIFT-ПКМ)\n- Блоки или устройства, которые вы хотите разместить, должны быть перемещены на панель инструментов.",,,,,,,,
tasktitlePlSurvConstr,Place Survival Constructor,Überlebenskonstruktor platzieren,,,,,,,Разместите Аварийный конструктор,,,,,,,,
acttitlePlSurvConstr,Place Survival Constructor,Überlebenskonstruktor platzieren,,,,,,,Разместите Аварийный конструктор,,,,,,,,
actdescPlSurvConstr,"Select the Survival Constructor by scrolling with the mouse to its slot or use the number keys to quick select it from the toolbar. A preview of the device is now shown in your HUD. If it is surrounded by a red wireframe, the terrain may be too steep or uneven. Move the preview around until the wireframe turns blue. Before placing the survival constructor, find a suitable place, preferably close to a lake or an important ore deposit (like Iron or Promethium) ahead of building your camp.  \n\nALL blocks in Empyrion are placed this way, be it terrain-placeables like the Survival Constructor or blocks added to a vessel or base.\n\n[b]Important:[/b]\nThe Survival Constructor is capable of creating a few basic devices and cooking some meals. You can refine ore and build basic blocks,but it is missing the capabilities of a Small, Large or Advanced Constructor AND you  need to create all device components manually.\nIts advantage: the Survival Constructor doesn't need fuel packs or other energy types to operate!\n\n[u]Tips:[/u]\n- The Survival Constructor can be used to store a few extra items freeing up your inventory space to collect more items.\n- The Survival Constructor has a marker on the radar map to help you find your camping spot.\n\n[b]The Survival Constructor, as well as the O2 Generator, H2O2 Generator and Water Generator, can be picked up again by aming at it an pressing SHIFT+F! (Exception: Starter Blocks. See Chapter 2+3 for more info)[/b]","Wählen den Überlebenskonstruktor aus, indem du mit dem Mausrad auf seinen Ablageplatz in deiner Toolbar scrollst - oder nutze die zugehörige Nummerntaste. Es erscheint eine Vorschau des Geräts in deinem Sichtbereich  auf dem Helmvisier (HUD). Wenn die Vorschau von einem roten Drahtgitter umfasst ist, dann ist eventuell der Boden zu abschüssig oder es gibt sonst einen Grund, warum das Gerät hier nicht platziert werden kann. Suche nach einer Stelle, an welcher der Rahmen blau wird um den Überlebenskonstruktor absetzen zu können. Suche jedoch erst nach einem passenden Platz für dein Camp. Idealerweise in der Nähe eines Sees oder eines wichtigen Ressourcenvorkommens (wie z.B. Eisen oder Promethium).\n\nALLE Blöcke im Spiel werden auf diese Weise platziert, egal ob Geräte wie der Überlebenskonstruktor, der direkt auf dem Planetenboden gesetzt werden kann, oder Blöcke die du an deine Raumschiffe oder Weltraumbasen anfügst.\n\n[b]WICHTIG:[/b]\nDer Überlebenskonstruktor kann einige grundlegende Geräte sowie ein paar einfache Gerichte herstellen. Du kannst mit ihm Erze raffinerieren und einfache Blöcke herstellen. Ihm fehlen darüber hinaus allerdings die Möglichkeiten für komplexere Gerätschaften, wie sie der Kleine, Große und Verbesserte Konstruktor erzeugen können UND du musst alle Zwischen-Komponenten selbst herstellen.\nSein Vorteil: Er braucht keinen Brennstoff da er mit Solarenergie betrieben wird.\n\n[u]Tipps:[/u]\n- Im Überlebenskonstruktor kannst du Dinge zwischenlagern und somit etwas mehr Stauraum in deinem persönlichen Inventar frei halten!\n- Der Überlebenskonstruktor wird mit einem Symbol auf deiner Radarkarte und auch auf der großen Planetenkarte angezeigt. So findest du immer zu deinem Camp zurück!\n\n[b]Der Überlebenskonstruktor, sowie andere, direkt auf Terrain/im Wasser platzierbaren Geräte (O2 Generator, H2O2 Generator, Wasser Generator) können wieder aufgesammelt werden: Ziele auf das Gerät und drücke SHIFT-F! (Ausnahme: Starter Blöcke. Siehe Mission 2 und 3) [/b]",,,,,,,"Выберите Аварийный конструктор, прокрутив мышь до нужного места или воспользуйтесь цифровыми клавишами, чтобы быстро выбрать его на панели инструментов. Предварительный просмотр устройства теперь отображается в вашем HUD. Если он окружен красным каркасом, местность может быть слишком крутой или неровной. Перемещайте предварительный просмотр, пока каркас не станет синим. Перед тем, как разместить Аварийный конструктор, найдите подходящее место, желательно рядом с озером или важным рудным месторождением (таким как железо или прометий) перед тем, как строить свой лагерь.  \n\nВСЕ блоки в Empyrion размещаются таким образом, будь то местность, например конструктор выживания или блоки, добавленные к судну или базе.\n\n[b]Важно:[/b] \nАварийный конструктор способен создать несколько базовых устройств и приготовить несколько блюд. Вы можете улучшать руду и строить базовые блоки, но в ней отсутствуют возможности Малого, Большого или Продвинутого Конструктора, и вам необходимо создавать все компоненты устройства вручную.\nЕго преимущество: Аварийному конструктору не нужны топливные ячейки или другие виды энергии для работы!\n\n[b]Подсказки:[/b]\n- Аварийный конструктор можно использовать для хранения нескольких дополнительных предметов, освобождая пространство для инвентаря и собирая больше предметов.\n- Аварийный конструктор имеет маркер на карте радара, чтобы помочь вам найти свое место для кемпинга.\n\n[b]Аварийный конструктор, а также генератор O2, генератор H[sub]2[/sub]O[sub]2[/sub] и генератор воды можно снова забрать, нажав на них [ff8000]SHIFT+F[-]! [/b][b](Исключение: блоки стартера. См. Главу 2 + 3 для получения дополнительной информации)[/b]",,,,,,,,
completeMaiyMissionI,"Unknown Voice: Well done! Now you know how to survive and conquer a planet, right?!",,,,,,,,,,,,,,,,
chptitleBuildBase,Maiy Mission II,Maiy Mission II,,,,,,,Майя Миссия II,,,,,,,,
chpdescBuildBase,"The second chapter of this tutorial will teach you how to set up your first base.Building a base will allow you to increase your self-sufficiency and overall capabilities.\n\nA basic layout consists of a few elements:\n- base starter block\n- generator\n- fuel tank\n- growing plots\n- growing light\n- large constructor\n- cannon turret\n- ammo box\n- oxygen station\n- oxygen tank\n\nIt's also a good idea to add a fridge, a food processor and a clone chamber early on.\n\n[b]Note: You can activate a building helper drone with F5. The Drone can build and remove blocks like you can do with your player avatar! It has a maximum range, though[/b]\n\nEach sub-chapter contains a number of main- and sub-tasks to follow as well as valuable background infos and [u]Tips[/u] at the end of each task-page (like the Construction Queue Shortcuts!). \n\nFore more details please refert to the PDA Knowledgebase! \n\n[b]You can always activate and deactivate each chapter manually![/b]","Das zweite Mission dieser Übungseinheit zeigt dir, wie du deine erste Basis baust.  Eine Basis eröffnet dir ganz neue Möglichkeiten und sichert dein Überleben..\n\nEine grundlegende Ausstattung für eine Basis besteht  aus den folgenden Einrichtungen:\n- Basis Starter\n- Generator\n- Kraftstofftank\n- Pflanzenbeete\n- Pflanzenlicht\n- Großer Konstruktor \n- Kanonen Geschütz\n- Munitionskiste\n O2 Station\n- O2 Tank\n\nSobald als möglich ebenfalls ergänzen solltest du einen Kühlschrank, einen Nahrungsmittel-Prozessor und die Klonkammer.\n\n[b]Hinweis: Aktiviere deine persönliche Bauhelfer-Drohne mit F5. Sie kann alles bauen und auch Blöcke entfernen. Sie hat allerdings eine begrenzte Reichweite![/b]\n\nJedes Mission enthält eine Reihe von Haupt- und Nebenaufgaben die du erfüllen musst. Am Ende jeder Aufgabe findest du [u]Tipps[/u], die dir weiterhelfen können (z.b. Warteschlangen-Abkürzungen!).\n\nWeitere Informationen findest du in der PDA Wissensdatenbank!\n\n[b]Du kannst jedes Mission jederzeit von Hand  aktivieren und deaktivieren[/b]",,,,,,,"Вторая глава этого урока научит вас, как настроить свою первую базу. Создание базы позволит вам повысить свою самостоятельность и общие возможности.\n\nБазовая планировка состоит из нескольких элементов:\n- основа БА\n- генераторы\n- топливный бак\n- растительные модули\n- лампы для растений\n- большой конструктор\n- пушечные турели\n- ящик амуниции\n- кислородная станция\n- кислородные баки\n\nТакже хорошая идея добавить холодильник, кухонный комбайн и камеры клонирования на ранней стадии.\n\n[b]Примечание: вы можете активировать дрон-помощник при помощи [ff8000]F5[-]. Дрон может строить и удалять блоки, как вы можете сделать с аватаром своего игрока! [/b][b]Он имеет максимальную дальность.[/b] \n\nКаждая подглава содержит ряд основных и второстепенных задач, а также ценные справочные сведения и советы в конце каждой страницы задачи (например, порядок очереди на строительство!). \n\nДля более подробной информации, пожалуйста, обратитесь к базе знаний КПК! \n\n[b]Вы всегда можете активировать и деактивировать каждую главу вручную![/b]",,,,,,,,
tasktitleBaseStarter,Base Starter,Grundstein legen,,,,,,,Основа Базы,,,,,,,,
acttitlePlaceBAStarter,Place Base Starter,Basis-Starter platzieren,,,,,,,Разместите Основу БА,,,,,,,,
actdescPlaceBAStarter,"Building a base always starts with crafting and laying down a base starter block.\n\nOpen your Survival constructor and find the 'base starter' block in the Building Blocks tab. Move the base starter block to a free slot in your toolbar and place it on the terrain.\n\nAfter having successfully placed the starter block, create at least 10 more blocks of any material to increase the base plate size. Choosing the material (Wood, Concrete, Steel or Hardened Steel) is up to you. Each of the materials has its own advantages and disadvantages concerning resource need, stability, armor and hitpoints.\n\n[u]Tips:[/u]\n- You can move the Core Block up and down vertically ahead of placing it. You do NOT need to level the ground. Just use PAGE UP or PAGE DOWN to level the Core block.\n- You can add a LINE of hull blocks by holding the left-mouse button and dragging the mouse\n- You can add a PLANE of blocks by holding CTRL and dragging the mouse. Place yourself on an elevated position - this will make creating a plane much easier! \n - You can deconstruct, disassemble, upgrade and rotate a placed block with the Multitool (you need to unlock it from the Techtree and craft the tool at first). Use right-mouse click to set the working mode of the Multitool. \n[b]PLEASE NOTE:[/b]   If you destroy a device with a filled inventory, like a constructor or fridge, its contents will drop in backpacks for you to collect. \n\n[b]Important:[/b]\n- All of your buildings are affected by the [b]Structural -Integrity[/b]\n- Different materials have different structural integrity characteristics![/b].\n- Press N to open the Build-Helper Menu and tick the box for the Structural Integrity Overlay - this will show you if your build is stable (green areas).. or if it will break with the next block placed (orange and red areas).","Das Bauen einer Basis beginnt immer damit, den Basis-Starter herzustellen und an einer geeigneten Stelle zu platzieren.\n\nÖffne den Überlebenskonstruktor und wähle die Vorlage 'Basis-Starter' im Reiter  BAUBLÖCKE aus. Wenn du den Basis-Starter fertig produziert hast, lege ihn in einen freien Platz in deiner Toolbar, wählen ihn aus und setze ihn an einer geeigneten Stelle auf dem Boden ab\n\nWenn du den Basis-Starter angelegt hast, stelle mindestens noch 10 weitere Konstruktionsblöcke her um die Grundplatte deiner Basis für die benötigten Geräte zu erweitern. Ob du die Blöcke aus Holz, Beton, Stahl oder Gehärtetem Stahl herstellst, ist dir überlassen. Jedes Material hat seine eigenen Vor- und Nachteile in Bezug auf Ressourcenkosten, Stabilität, Panzerung und Haltbarkeit.\n\n[u]Tipps[/u]\n- Du kannst den Kern Block vertikal nach oben und unten bewegen bevor du ihn setzt. Du musst den Boden NICHT vorher glätten! Nutze einfach BILD HOCH und BILD RUNTER zum die Platzierhöhe zu verändern.\n- Du kannst eine ganze REIHE an Konstruktionsblöcken platzieren, indem du die linke Maustaste gedrückt hältst und die Maus ziehst.\n- Du kannst eine FLÄCHE von Konstruktionsblöcken platzieren, indem du STRG gedrückt hältst und die Maus ziehst. Beim Erstellen einer Fläche, stelle dich vorher immer auf eine erhöhte Position! Das macht die Sache einfacher.\n- Mit dem Multifunktionstool kannst du Blöcke wieder abbauen, aufnehmen, rotieren oder upgraden (Das Gerät musst du im Techinkbaum freischalten und im Konstruktor herstellen). Klicke die rechte Maustaste um den Arbeitsmodus des Gerätes einzustellen.\n- Wenn du ein Gerät mit gefülltem Geräte-Inventar abbaust, erscheinen dessen Inhalte als Rucksäcke die du aufsammeln kannst.\n\n[b]Wichtig:[/b]\n- Alle Basen auf Planeten sind von der 'Strukturellen Integrität' betroffen.\n- Verschiedene Materialien haben verschiedene Charakteristiken bezogen auf die Strukturelle Integrität.\n- Drücke N um das Bauhilfen-Menü aufzurufen und schalte dort den den Modus zur Anzeige der Strukturellen Integrität an. Dieser  zeigt dir, ob deine Bauten stabil (grüne Bereiche) oder kurz davor sind, in sich  zusammen zu fallen (orange/rote Bereiche).",,,,,,,"Строительство базы всегда начинается с создания и укладки базового стартового блока..\n\nОткройте Аварийный Конструктор и найдите блок [ff8000]Основа БА[-] на вкладке [ff8000]Строительные блоки[-]. Переместите базовый стартовый блок в свободный слот на панели инструментов и поместите его на рельеф местности.\n\nПосле того, как успешно размещен стартовый блок, создать больше, по крайней мере 10 блоков какого-либо материала, чтобы увеличить размер опорной плиты. Выбор материала (дерево, бетон, сталь или закаленная сталь) зависит от вас. Каждый из материалов имеет свои преимущества и недостатки, касающиеся потребности в ресурсах, стабильности, брони и прочности.\n\n[u][b]Подсказки:[/b][/u] \n- Вы можете перемещать основной блок вверх и вниз по вертикали перед его размещением. Вам НЕ нужно выравнивать землю. Просто используйте PAGE UP или PAGE DOWN, чтобы выровнять основной блок.\n- Вы можете добавить ЛИНИЮ блоков корпуса, удерживая ЛКМ и перетаскивая мышь\n- Вы можете добавить ПЛОСТКОСТЬ блоков, удерживая CTRL и перетаскивая мышь. Поставьте себя на возвышение - это значительно облегчит создание судна! \n - Вы можете деконструировать, разбирать, модернизировать и вращать размещенный блок с помощью многофункционального инструмента (вам нужно разблокировать его из [ff8000]Технологии[-] и сначала создать инструмент). Используйте правую кнопку мыши, чтобы установить режим работы Мульти-инструмента. \n[b]ОБРАТИТЕ ВНИМАНИЕ:[/b] Если вы уничтожите устройство с заполненным инвентарем, например конструктор или холодильник, его содержимое упадет в контейнер, которые вы сможете забрать. \n\n[b]Важно:[/b] \n- Все ваши здания подвержены [b]структурной целостности[/b]\n- Разные материалы имеют разные характеристики структурной целостности.\n- Нажмите [ff8000]N[-], чтобы открыть меню [ff8000]Строительные инструменты[-], и установите флажок [ff8000]Наложение структурной целостности[-] - оно покажет вам, стабильна ли ваша сборка (зеленые области).. или сломается ли следующий блок (оранжевые и красные области).",,,,,,,,
tasktitleEquipBase,Equip your Base (Stage I),Basis ausrüsten (Teil I),,,,,,,Оборудуйте свою базу (Этап I),,,,,,,,
acttitleSmallBAGen,Place a Generator,Generator platzieren,,,,,,,Разместите Генератор,,,,,,,,
actdescSmallBAGen,"First, we need at least a small generator. Craft one in your survival constructor. Place the generator at a suitable place on you base.\n\n[b]Constructor Queue Shortcut![/b]\nAdd the following templates in exactly the given order to finish this task without any hassle: 1x Steel Plate > 9x Electronics > 19x Metal Components > 8x Cable > 3x Pipes > 4x Control Device > 1x Motor > 2x Capacitor Device > 2x Computer > 1x Reactor Core > START > add 1x Small Generator as soon as a queue slot is empty",Zunächst benötigst du mindestens einen Kleinen Generator. Stelle ihn im Überlebenskonstruktor her. Setze den Generator an einer passenden Stelle auf die Grundplatte deiner Basis.\n\n[b]Warteschlangen- Abkürzung![/b]\nFüge die folgenden Materialien in exakt der vorgegebenen Reihenfolge zu um die Aufgabe mit Leichtigkeit abzuschließen: 1x Stahlplatte > 9x Elektronik > 19x Metallkomponenten > 8x Kabel > 3x Rohre > 4x Steuergerät > 1x Motor > 2x Kondensatoreinheit > 2x Computer > 1x Reaktorkern > PRODUKTION STARTEN > 1x Generator klein (sobald ein Platz in der Warteschlange frei ist),,,,,,,"Во-первых, нам нужен хотя бы маленький генератор. Создайте один в своем аварийном конструкторе. Разместите генератор в подходящем месте на вашей базе.\n\n[b]Ярлык очереди конструктора![/b]\nДобавьте следующие шаблоны точно в указанном порядке, чтобы выполнить эту задачу без лишних хлопот:1x Стальная пластина > 9x Электроника > 19x Металлические компоненты > 8x Кабель> 3x Трубы > 4x Устройство управления > 1x Двигатель>  2x Конденсаторное устройство > 2x Компьютер> 1x Ядро реактора > Запуск > добавьте 1x Малый генератор, как только слот очереди опустеет",,,,,,,,
acttitleSmallBAFuelTank,Place a Fuel Tank,Kraftstofftank platzieren,,,,,,,Разместите Топливный бак,,,,,,,,
actdescSmallBAFuelTank,Craft a small fuel tank in your survival constructor and place a fuel tank on your base\n\n[b]Constructor Queue Shortcut![/b]\n2x Electronics > 2x Metal Components > 2x Cable > 1x Small Fuel Tank,Stelle nun im Überlebenskonstruktor mindestens einen Kleinen Kraftstofftank her und platzieren ihn ebenfalls in deiner Basis.\n\n[b]Warteschlangen-Abkürzung![/b]\n2x Elektronik > 2x Metallkomponenten > 2x Kabel > 1x Treibstofftank klein,,,,,,,Создайте небольшой топливный бак в аварийном конструкторе и поместите его на свою базу.\n\n[b]Ярлык очереди конструктора![/b] \n2x Электроника > 2x Металлические компоненты > 2x Кабель > 1x Малый топливный бак,,,,,,,,
acttitleBALargeConstr,Place a Large Constructor,Konstruktor platzieren,,,,,,,Разместите Большой конструктор,,,,,,,,
actdescBALargeConstr,"For creating more complex blocks like turrets and such, we need a better constructor.Craft a large constructor in the survival constructor and place it on your base.\n\nAlso an advantage: With the Large Constructor you do not need to craft intermediate materials like components manually anymore!\n\n[b]Constructor Queue Shortcut![/b]\n 1x Metal Plate > 9x Metal Components > 6x Electronics > 7x Cables > 4x Pipes > 4x Control Device > 2x Motor > 2x Computer > 1x Large Constructor","Um komplexere und schlagkräftigere Geräte wie den Kanonen Turm zu bauen, benötigst du einen besseren Konstruktor. Baue einen Großen Konstruktor im Überlebenskonstruktor und stelle ihn in deiner Basis auf.\n\nVorteil: Der Große Konstruktor kann Zwischenkomponenten selbst herstellen! Du musst sie dann nicht mehr manuell produzieren.\n\n[b]Warteschlangen-Abkürzung![/b]\n1x Stahlplatte > 9x Metallkomponenten > 6x Elektronik > 7x Kabel > 4x Rohre > 4x Steuergerät > 2x Motor > 2x Computer > 1x Konstruktor groß",,,,,,,"Для создания более сложных блоков, таких как турели и тому подобное, нам нужен лучший конструктор. Создайте большой конструктор в аварийном конструкторе и поместите его на свою базу.\n\nТакже преимущество: с Большим конструктором вам больше не нужно создавать промежуточные материалы, такие как компоненты, вручную.!\n\n[b]Ярлык очереди конструктора![/b] \n1x Металлическая пластина > 9x Металлические компоненты > 6x Электроника > 7x Кабели > 4x Трубы > 4x Устройство управления > 2x Двигатель > 2x Компьютер > 1x Большой конструктор",,,,,,,,
acttitleActivateBA,Activate the Base,Basis aktivieren,,,,,,,Активируйте свою базу,,,,,,,,
actdescActivateBA,"For creating the more advanced devices available in the large constructor, we need to activate the base, this means we need to power up the base.\n\nAdd some fuel packs to the fuel tank. Then stand on a block that is connected to your base and hit Y (default).\n\n[b]This will result in two things happening:[/b]\n1. It will allow us to run more advanced devices like the large constructor.\n2. This will make you visible for the aliens and call in drones attacking your base sooner or later\n\nSo have your Assault Rifle and enough 5.8mm Ammo ready and immediatelly progress to the next step and buid a turret!\n\nDrones approaching your base are marked as red arrows in your top-right radar screen! Make sure to loot the drones when downed! They are a great source of materials!.","Um die besseren Geräte im Großen Konstruktor herstellen zu können, benötigt  deine Basis Energie. Das bedeutet, wir müssen sie zunächst mit Energie versorgen.\n\nSetze einige Kraftstoffzellen in den Kraftstoff Tank ein. Dann stelle dich auf einen Block der mit deiner Basis in irgend einer Form verbunden ist und drücke Y. \n\nJetzt passieren zwei Dinge\n1. In der aktivierten Basis kannst du nun alle Geräte benutzen und höherwertige Maschinen herstellen\n2. Die Aktivierung führt dazu, dass die Aliens auf dich aufmerksam werden und deren Drohnen dich früher oder später angreifen.\n\nStelle genügend Munition her und lege dir dein Sturmgewehr bereit und baue so schnell wie möglich deinen ersten Geschützturm.\n\nDie Drohnen erkennst du an roten Pfeilen auf deiner Radarkarte. Schieße sie ab und leere ihr Inventar, denn sie haben oft sehr nützliche Dinge für dich dabei!",,,,,,,"Для создания более продвинутых устройств, доступных в большом конструкторе, нам нужно активировать базу, это означает, что нам нужно включить базу.\n\nДобавьте несколько топливных ячеек в топливный бак. Затем встаньте на блок, который подключен к вашей базе и нажмите [ff8000]Y[-] (по умолчанию).\n\n[b]Это приведет к двум вещам:[/b] \n1. Это позволит нам запускать более продвинутые устройства, такие как большой конструктор.\n2. Это сделает вас видимыми для инопланетян и вызовет дронов, атакующих вашу базу, рано или поздно.\n\nТак что приготовьте свою Штурмовую винтовку и достаточно 5,8-мм патронов, и немедленно переходите к следующему шагу и постройте турель!\n\nДроны, приближающиеся к вашей базе, отмечены красными стрелками на вашем верхнем правом экране радара! Подготовьтесь, чтобы разграбить дронов, когда они сбиты! Они являются отличным источником материалов!",,,,,,,,
tasktitleEquipBase2,Equip your Base (Stage II),Basis ausrüsten (Teil II),,,,,,,Оборудуй свою базу (Стадия II),,,,,,,,
acttitleBATurrAmBox,Add Cannon Turret & Ammo Box,Geschütz und Munitionskiste*,,,,,,,Добавить пушечную турель и ящик амуниции,,,,,,,,
