KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Türkçe,Greek,Dutch,Vietnamese
acttitle613,[c][ffffff]Search for Asteroid Buster related data,,,,,,,,"[ffffff]Поиск данных, связанных с Asteroid Buster[-]",,,,,,,,
actdesc613,Find a console or notes which can help you on your mission to destroy the Asteroid Buster.,,,,,,,,"Найдите консоль или заметки, которые помогут вам в вашей миссии уничтожить Asteroid Buster.",,,,,,,,
complete613,\n,,,,,,,,,,,,,,,,
complete6,"The radiation in this room is clearly the source of the Sathoidwaves.\nYou have hacked into the weakly protected system with ease.\nAll data you can download proves that the weapon was originally designed here.\nYou find blueprints of the Asteroid Buster on one of the files!\nWith concern, you also notice a special security perimeter which has been constructed around the cannon core.\nYou update your PDA with all info about it...\n\n[c][8faed3]Chapter reward:[/c] 5000 credits money card",,,,,,,,"Излучение в этой комнате явно является источником сатиевых волн.\nВы легко взломали слабо защищенную систему.\nВсе данные, которые вы можете скачать, доказывают, что оружие изначально было разработано здесь.\nВы находите чертежи Asteroid Buster в одном из файлов!\nС беспокойством вы также замечаете специальный периметр безопасности, который был построен вокруг ядра пушки.\nВы обновляете свой КПК со всей информацией об этом...\nГлава вознаграждения: 5000 кредитов, кредитная карта",,,,,,,,
chaptertitle7,Chapter 7 � The phase emitter,,,,,,,,[ffffff]Глава 7 - Фазовый излучатель[-],,,,,,,,
chpdesc7,"The data in the weapon research center was extremely helpful. You found an easy way to destroy this gigantic cannon:  It's designed to run on a positively charged phase emitter in its delta converters. In one of the protocols, you notice that a ship with a negatively charged phase emitter engine was denied access to the Asteroid Buster base as it would have ""unseen negative effects on the internal systems"". You must find this special Zirax ship. According to the records, it changed course and headed to the Kayam system instead of landing. Hopefully, it still has the negatively charged phase emitter. You add it's engine signature to your ship scanners hoping to find the ship this way. The only known colony on Kayam is called ""Jera"". Most likely it has landed there.",,,,,,,,"Данные в исследовательском центре оружия были чрезвычайно полезны. Вы нашли простой способ уничтожить эту гигантскую пушку: она предназначена для работы на положительно заряженном фазовом излучателе в его дельта-преобразователях. В одном из протоколов вы заметили, что кораблю с отрицательно заряженным двигателем фазовых излучателей было отказано в доступе к базе Asteroid Buster, так как это могло бы [i][u][b]невидимо негативно повлиять на внутренние системы[/b][/u][/i]. Вы должны найти этот специальный корабль Зиракс. Согласно записям, он изменил курс и направился к системе Kayam вместо приземления. Надеемся, что он все еще имеет отрицательно заряженный фазовый излучатель. Вы добавляете его сигнатуру двигателя в свои корабельные сканеры, надеясь найти корабль таким образом. Единственная известная колония на Kayam называется Jera. Скорее всего, он приземлился там.",,,,,,,,
tasktitle71,The Kayam sands,,,,,,,,[ffffff]Пески Kayam[-],,,,,,,,
acttitle711,[c][ffffff]Check your PDA,,,,,,,,[ffffff]Проверьте свой КПК[-],,,,,,,,
actdesc711,\n,,,,,,,,,,,,,,,,
complete711,\n,,,,,,,,,,,,,,,,
acttitle712,[c][ffffff]Travel to Kayam,,,,,,,,[ffffff]Путешествие в Kayam[-],,,,,,,,
actdesc712,Warp to the Kayam system and land on the planet.,,,,,,,,Варп-прыжок к системе Каям и приземление на планете.,,,,,,,,
complete712,\nCockpit system voice: [c][8faed3]�You have entered: Kayam orbit.�[/c],,,,,,,,[ff8000]Голос системы кабины:[-] \nВы вошли: Орбита Kayam.,,,,,,,,
acttitle713,[c][ffffff]Land at the Jera colony,,,,,,,,[ffffff]Приземление в колонию JERA[-],,,,,,,,
actdesc713,Land at the Jera colony and look around.,,,,,,,,Приземлитесь в колонии Jera и осмотритесь вокруг.,,,,,,,,
complete713,"\nThe Jera colony sheriff contacts you via your comm system: [c][8faed3]""Welcome, friend. Please be reminded that this is a neutral place. Everybody is welcome here. Keep your laser guns in your holsters though. But it's never wrong to have 'em in case some outlaw thinks he is smarter than you.""",,,,,,,,"Шериф колонии Jera связывается с вами через вашу систему связи: \n[00ffff]Добро пожаловать, друг. Напоминаем, что это нейтральное место. Все желающие приветствуются здесь. Хотя держите свои лазерные пушки в кобурах. Не будет ошибкой применить их в случае, если некоторые преступники думают, что они умнее тебя.[-]",,,,,,,,
acttitle714,[c][ffffff]Search for the Zirax pilot (door code 3456),,,,,,,,[ffffff]Поиск пилота Зиракс (код двери 3456)[-],,,,,,,,
actdesc714,Confront the Zirax pilot in his private room (door code 3456). He should be hiding in one of the two apartment buildings of the Jera colony.,,,,,,,,Сразитесь с пилотом Зиракс в его отдельной комнате (код двери 3456). Он должен прятаться в одном из двух жилых домов колонии Jera.,,,,,,,,
complete714,\nYou interrupted the Zirax pilot while he was setting up a teleporter field. You should destroy it before more Zirax arrive here. \n\nThe body suit of the dead pilot looks burned. It seems he crash landed with his ship on this planet somewhere.,,,,,,,,"Вы прервали пилота Зиракс, когда он настраивал поле телепорта. Вы должны уничтожить его, прежде чем сюда прибудет больше Зиракса.\n\nКостюм погибшего пилота выглядит сгоревшим. Похоже, он потерпел крушение и приземлился где-то на планете.",,,,,,,,
acttitle715,[c][ffffff]Find the lost Zirax ship,,,,,,,,[ffffff]Найти потерянный корабль Зиракс[-],,,,,,,,
actdesc715,Locate the correct wreck on Kayam and dig it up.,,,,,,,,Найдите верное кораблекрушение на Kayam и выкопайте его.,,,,,,,,
complete715,"\nThis crashed ship looks like it was constructed by the Zirax. When excavating it, be careful not to destroy essential parts with explosives or rockets or your mission might fail.",,,,,,,,"Этот разбитый корабль выглядит так, как будто его построил Зиракс. При его раскопках будьте осторожны, чтобы не уничтожить важные детали взрывчаткой или ракетой, иначе ваша миссия может потерпеть неудачу.",,,,,,,,
acttitle716,[c][ffffff]Find the phase emitter,,,,,,,,[ffffff]Найти фазовый излучатель[-],,,,,,,,
actdesc716,"Search for an elevator leading down. You assume the phase emitter can be found at the lowest level of the ship. When excavating the ship, be careful not to destroy essential parts with explosives or rockets or your mission might fail.",,,,,,,,"Ищите лифт, ведущий вниз. Вы предполагаете, что фазовый излучатель может быть найден на самом нижнем уровне корабля. При раскопках корабля будьте осторожны, чтобы не уничтожить важные детали взрывчаткой или ракетами, иначе ваша миссия может потерпеть неудачу.",,,,,,,,
complete716,\nIt seems the phase emitter has not been destroyed by the crash landing.,,,,,,,,"Похоже, что фазовый излучатель не был разрушен при аварийной посадке.",,,,,,,,
complete7,"You have found the negatively charged phase emitter right below the warp drive of this Zirax ship.\nYou carefully extract it. Since the Asteroid Buster cannon's system doesn't react well to this emitter, a plan forms in your mind:\nPlacing it right into the core of the cannon and activating its system will destroy the prototype for good. \n\n[c][8faed3]Chapter reward:[/c] 5000 credits money card",,,,,,,,"Вы нашли отрицательно заряженный фазовый излучатель прямо под варп-диском этого корабля Зиракс.\nВы тщательно извлекаете его. Так как система пушки Asteroid Buster плохо реагирует на этот излучатель, у вас формируется план:\nПомещение его прямо в ядро пушки и активация его системы навсегда уничтожит прототип.\n\nГлава вознаграждения: 5000 кредитов, кредитная карта",,,,,,,,
tasktitle3B3,The hunt is over,,,,,,,,[ffffff]Охота окончена[-],,,,,,,,
tasktitle72,The lost ship,,,,,,,,[ffffff]Потерянный корабль[-],,,,,,,,
tasktitle41B,Tactical Outpost Iota,,,,,,,,[ffffff]Тактический форпост Йота[-],,,,,,,,
chpdesc6,"Your suit has registered weak ""Sathoidwaves"" on the moon of Veldis. Something on this moon must be emitting these radioactive waves. It might be worth looking for the source since you detected a similar radiation around the Zirax officer you just killed. Maybe this is linked to the Asteroid Buster cannon as well. \n\nYou triangulate the source of radiation with the map of this moon. The source must be inside a Zirax building here. Follow the marked signal and investigate it.",,,,,,,,"Твой костюм зарегистрировал слабые [u][i]сатиевые волны[/i][/u] на луне Veldis. Что-то на этой луне должно излучать эти радиоактивные волны. Возможно, стоит поискать источник, так как вы обнаружили похожее излучение вокруг офицера Зиракс, которого вы только что убили. Возможно, это также связано с пушкой Asteroid Buster.\n\nВы триангулируете источник излучения с помощью карты этой луны. Источник должен быть здесь внутри здания Зиракс. Следуйте за отмеченным сигналом и исследуйте его.",,,,,,,,
chaptertitle8,Chapter 8 � The Zirax Asteroid Buster Cannon,,,,,,,,[ffffff]Глава 8 - Пушка Зиракс Asteroid Buster[-],,,,,,,,
chpdesc8,"Agent, you have the codes to enter the high-security rooms of the Zirax battle station. You found the access code on Tactical Outpost Iota. You traced down the door code for the weapon platforms inner core room on Veldis moon. And you know how to overload the weapon�s system by using the same method you found in the shipwreck on Kayam. It�s time to fulfill your mission: fly to the secret base in the orbit of Veldis and destroy their prototype. Fly to the proper coordinates in the Veldis system to find the Zirax base. Bring a capital vessel with a MedStation to your destination in case you encounter heavy resistance.",,,,,,,,"Агент, у вас есть коды для входа в комнаты строгого режима на боевой станции Зиракс. Вы нашли код доступа на Тактический оутпост Йота. Вы отследили код двери для внутренней комнаты оружейных платформ на Луне Veldis . И вы знаете, как перегрузить систему оружия, используя тот же метод, который вы нашли в кораблекрушении на Kayam. Пришло время выполнить свою миссию: полететь на секретную базу на орбите Veldis и уничтожить их прототип. Летите к нужным координатам в системе Veldis, чтобы найти базу Зиракс. Разместите  большое судно с Мед станцией рядом с местом назначения, если вы столкнетесь с сильным сопротивлением.",,,,,,,,
tasktitle81,[c][ffffff]Endgame,,,,,,,,[ffffff]Эндшпиль[-],,,,,,,,
acttitle811,"[c][ffffff]Find the Asteroid Buster cannon base near -5800, -5200, -7300 in Veldis Orbit",,,,,,,,"[ffffff]Найдите базу пушки Asteroid Buster возле -5800, -5200, -7300 на орбите Veldis[-]",,,,,,,,
actdesc811,"Use the Veldis system map to find the base. Right-click in an open area to create a new waypoint. Enter the coordinates -5800, -5200, -7300 and hit �Accept�. The waypoint will now give you a destination you can follow to find the base.",,,,,,,,"Используйте системную карту Veldis, чтобы найти базу. Щелкните правой кнопкой мыши в открытой области, чтобы создать новую путевую точку. Введите координаты -5800, -5200, -7300 и нажмите [u][b]Принять[/b][/u]. Путевая точка теперь даст вам пункт назначения, по которому вы можете следовать, чтобы найти базу.",,,,,,,,
complete811,\nThere it is! The space station with the Zirax Asteroid Buster is right in front of you.,,,,,,,,Вот оно! Космическая станция с Asteroid Buster Зиракс находится прямо перед вами.,,,,,,,,
acttitle812,[c][ffffff]Enter the cannon control room (code 1112),,,,,,,,[ffffff]Войдите в комнату управления пушками (код 1112)[-],,,,,,,,
actdesc812,"Enter the code ""1112"" at the security door to gain access to the Asteroid Buster cannon control room.",,,,,,,,"Введите код [u][b]1112[/b][/u] в дверь безопасности, чтобы получить доступ к диспетчерской пушки Asteroid Buster.",,,,,,,,
complete812,\nWatch out for Zirax guards.,,,,,,,,Остерегайтесь охранников Зиракс.,,,,,,,,
acttitle814,[c][ffffff]Place the phase emitter in the core (code 3914),,,,,,,,[ffffff]Поместите фазовый излучатель в сердечник (код 3914)[-],,,,,,,,
actdesc814,"Find the access to the Asteroid Buster core. Open the security hatch with the code ""3914"". You will then automatically place the phase emitter in it.",,,,,,,,Найдите доступ к ядру Asteroid Buster. Откройте люк безопасности с кодом [u][b]3914[/b][/u]. Затем вы автоматически поместите фазовый излучатель в него.,,,,,,,,
complete814,You have placed the phase emitter successfully.,,,,,,,,Вы успешно установили фазовый излучатель.,,,,,,,,
tasktitle82,[c][ffffff]Boooom!,,,,,,,,[ffffff]Бабах![-],,,,,,,,
acttitle821,[c][ffffff]Blow it up!,,,,,,,,[ffffff]Взорвать![-],,,,,,,,
actdesc821,"With the phase emitter in place, head to the cannon control room and activate the weapon control system to sabotage the Asteroid Buster prototype!",,,,,,,,"Установив фазовый излучатель, направляйтесь в комнату управления пушками и активируйте систему управления оружием, чтобы саботировать прототип Asteroid Buster!",,,,,,,,
complete821,\nYou flip the switch and as planned the photon emitter causes havoc on the inner core of the Asteroid Buster destroying it.,,,,,,,,"Вы щелкаете выключателем, и, как и планировалось, излучатель фотонов вызывает разрушение внутреннего ядра Asteroid Buster, разрушая его.",,,,,,,,
complete8,"Congratulations, agent! You have destroyed the Asteroid Blaster prototype. \nYou have successfully foiled the Zirax's plans to blow up asteroids around their enemy�s planets.\nIf you hadn't stopped them, this weapon would have been a threat to all spaceships and would have made intergalactic travel much more dangerous.\nThere's no time to settle down though. The UFP always needs specialists like you.\n\nIf you enjoyed this scenario feel free to write a comment on the Empyrion scenario board. We love to hear from you.\nWe hope you had as much fun playing our scenario as we had creating it for you!\n[c][ffffff]Thanks for playing!\n\nMade by Taun Hawk & Amurayiwestgate",,,,,,,,"Поздравляю, агент! Вы уничтожили прототип Asteroid Blaster.\nВы успешно сорвали планы Зиракс взорвать астероиды вокруг их планет противника.\nЕсли бы вы не остановили их, это оружие было бы угрозой для всех космических кораблей и сделало бы межгалактическое путешествие намного более опасным.\nСФП всегда нужны такие специалисты, как вы.\n\nЕсли вам понравился этот сценарий, не стесняйтесь писать комментарии на доске сценариев Empyrion. Мы рады услышать от вас.\nМы надеемся, что вы сыграли в наш сценарий так же весело, как и мы!\nСпасибо за игру!\n\nСделано в Taun Hawk & Amurayiwestgate\nперевод на русский - Mungus",,,,,,,,
acttitle822,[c][ffffff]Back to safety,,,,,,,,[ffffff]Вернуться в сохранности[-],,,,,,,,
actdesc822,Get back to safety.,,,,,,,,Возвращайся в безопасное место.,,,,,,,,
complete822,The end,,,,,,,,[ffffff]Конец[-],,,,,,,,
tasktitle52,Landing with the shuttle,,,,,,,,[ffffff]Посадка с шаттлом[-],,,,,,,,
