KEY,English,Deutsch
actdescSurvivalCooking,"The Survival Constructor is capable of cooking some basic meals - like grilled steak, salami and coffee. Add all of the raw meat to the survival constructors inventory. Then, open the Food-tab and add as many steak or salami templates as you like.\n\n[b]Important:[/b]\n- Cooked meals also have a Perish-timer. But it gives you much more time than carrying around the raw materials.\n- Food items do not stack because of the different PERISH-timers.","Der Überlebenskonstruktor kann ein paar einfache Mahlzeiten zubereiten - zum Beispiel Gegrilltes Steak, Salami oder Kavae Kaffee. Lege alles rohe Fleisch in das Inventar des Überlebenskonstruktors. Klicke auf das Symbol für ESSEN und MEDIZIN und füge so viele Steak oder Salami Vorlagen in die Warteschlange wie du möchtest.\n\n[b]Wichtig:[\b]\n- Auch gekochte Nahrung hat eine Verfallszeit! Allerdings geben dir zubereitete Nahrungsmittel einen höhern Zeitrahmen, verglichen mit den rohe Zutaten.\n- Nahrungsmittel können nicht gestapelt werden, da sie verschiedene Verfallszeiten haben können!"
tasktitleWeaponUp,"Weapon Upgrade","Waffenupgrade"
acttitleCraftAR,"Craft Assault Rifle","Sturmgewehr herstellen"
actdescCraftAR,"Open the Techtree (F3). Find and unlock the the Assault Rifle in the WEAPONS tab. You need to have reached player level 3 to do so.\n\nThen: Access the Survival Constructor. Open the WEAPONS & ITEMS tab. Depending on how many components you picked up while exploring the world, the Assault Rifle template may appear blocked (red). Hover over the template and an info panel will show up on the right side of the screen.\n\n[b]Important:[/b]\n The info panel shows missing components in RED, available components in GREEN. For the automated constructors (which the survival constructor does not belong to!) a YELLOW means, that components are missing, but with enough base materials like ore or ingots for the constructor to craft the intermediate components on its own. For automated constructors, you do not need to create components manually, but adding (found or obtained) components to the constructor inventory will of course help!\n\n  After the construction queue is finished, the Assault Rifle will appear in the constructor inventory. Directly drag & drop it to your toolbar for quick-access.","Öffne den Technikbaum (F3). Öffne den Reiter WEAPONS und schalte das Sturmgewehr frei. Du musst  mindestens Level 3 sein um dies zu tun.\n\nÖffne jetzt den Überlebenskonstruktor und wähle das Symbol für WAFFEN und GEGENSTÄNDE aus. Je nachdem wie viele Komponenten du bisher gefunden oder hergestellt hast, ist die Vorlage für das Sturmgewehr vielleicht noch in rot hinterlegt. Fahre mit dem Mauszeiger über die Vorlage und dir wird am rechten Bildschirmrand ein Detail-Infofeld angezeigt\n\n[b]Wichtig hierbei:[/b]\nFehlende Komponenten werden in ROT angezeigt. Vorhandene Komponenten in GRÜN. Bei automatisierten Konstruktoren (zu denen der Überlebenskonstruktor NICHT gehört) sagt dir zudem eine GELBE Anzeige, dass zwar die Komponenten fehlen, im Inventar des Konstruktors aber genügend Ausgangsstoffe (Ingots oder Erze) vorhanden sind, damit der Konstruktor diese selbst herstellen kann. Bei allen Konstruktoren bis auf den Überlebenskonstruktor musst du in dem Fall KEINE Komponenten selbst herstellen.\n\nWenn die Warteschlange abgeschlossen ist, findest du das Sturmgewehr im Inventar des Überlebenskonstruktors. Verschiebe es direkt in einen freien Platz in deiner Toolbar um es stets griffbereit zu haben."
acttitleCraftAmmo,"Craft Ammo","Munition herstellen"
actdescCraftAmmo,"Now create the ammo by adding the 5.8mm Ammo template to the queue. The 5.8mm ammo template has an output count of 25, so  2-3 should be enough for the start (50-75 rounds).\n\nWhen the construction has finished, move the Ammo to the player inventory (clips will be reloaded from there!).\n\n[u]Tip:[/u] Most of the Ammo needs Magnesium Powder and Iron ingots. The more you fight, the more you need. Keep an eye especially on your Magnesium supplies and watch out for Magnesium ore early on!\n\n[b]Constructor Queue Shortcut![/b]\nAdd the following templates in exactly the given order to finish this task without any hassle: 3x Metal Components > 1x Electronics > 1x Assault Rifle > 1x Metal Pieces > 2x 5.8mm Bullet > Switch Constructor to ON","Stelle jetzt auch die Munition her. Füge dazu unter  WAFFEN und GEGENSTÄNDE die Vorlage für die 5.8mm Munition hinzu. Da jede Vorlage für diese Sorte Munition dir 25 Schuss pro Vorlage erstellt, füge zunächst 2-3 Vorlagen in die Warteschlange hinzu. Daraus erhältst du dann 50-75 Schuss.\n\nSobald die Munition produziert ist, lege sie in dein Inventar. Du musst sie nicht in deine Toolbar verschieben, da Waffen und Werkzeuge direkt aus deinem Inventar geladen werden.\n\n[u]Tipps:[/u]\nMunition benötigt oft Magnesiumpulver und Eisenbarren. Je mehr du kämpfst, desto mehr davon. Halte daher nach Magnesium-Vorkommen schon frühzeitig Ausschau!\n\n[b]Warteschlangen-Abkürzung![/b]\nFüge die folgenden Materialien in exakt der vorgegebenen Reihenfolge zu um die Aufgabe mit Leichtigkeit abzuschließen: 3x Metallkomponenten > 1x Elektronik > 1x Sturmgewehr > 1x Metallstücke > 2x 5,8mm Kugel > Schalte den Construktor AN"
tasktitleMaterials,"Mining and Materials","Bergbau und Ressourcen"
acttitlePickupOre,"Pick up Ore","Erz abbauen"
actdescPickupOre,"You will need a lot of resources until you are able to leave the planet. Iron is needed to build any vessel. Magnesium is  the most important for ammo. Promethium is needed for running your base with fuel packs as well as for creating new drill charges!\n\nNow go find some ore spots. Keep your eyes open for Promethium, Iron and Magnesium. Copper and other minerals are useful as well. If you discovered an ore spot or an alien structure, it will be permanently marked on your Planetary 3D Map. Open the Map (M) and have a look at the planet 3D map and the already discovered POIs and ore spots.\n\nFirst, equip the Drill and find an ore spot, preferably a Magnesium ore deposit. Hold the left mouse button, aim to the ground and drill down until you find the ore deposit.\n\nAs soon as you have found the deposit, only aim at the ore deposits and mine them. [b]Look for the difference in color and texture to tell the difference![/b] Drilling only the dirt uses up your drill charges with nothing valuable in return.\n While drilling into the ore deposits, rocks and ore ingots will drop to the ground. Aim at them and hit F to pick them up (The Tier 2 Drill, which can be unlocked in the Techtree, will auto-collect all the minerals!).\n\n[u]Tips:[/u]\n- The map will not only show you discovered ore spots, bases, vessels or alien structures (POI), but also tell you which resources can be found on this planet or which are still available. An overview of discovered and yet discovered ore deposits is displayed on the bottom right.\n- If the deposits are depleted, meteors will strike the planet once in a while and add new deposits of a specific ore type.\n\n[b]Advice:[/b]\n- If you run out of Biofuel for the Tier 1 Drill, collect some Seaweed from the bottom of a nearby lake and produce BioFuel in the Survival Constructor\n-   Don't drill vertically only, because the hole may become your prison if you run out of drill charges and forgot to leave behind a path you could use to simply walk out of your mine.\n- Always think about on how to get out of your mine with the least amount of dill charges wasted on drilling dirt.\n- Use your Jetpack (J) to jump higher!\n- Do NOT throw away the Crushed Stone! You can use them for creating Concrete Blocks as a nice and more durable alternative for building a base (compared to wood or iron and less costly than iron blocks)!","Du wirst jede Menge Materialien benötigen bis du den Planeten verlassen kannst. Eisen wird für alle Fahrzeuge und Raumschiffe benötigt. Magnesium ist die wichtigste Ressource für Munition. Promethium wird benötigt um deine Basis und Maschinen am Laufen zu halten und um neue Bohrer-Ladungen herzustellen.\n\nSchaue dich nach einigen Erzvorkommen um. Halte die Augen offen und suche nach Promethium, Eisen oder Magnesium. Kupfer und andere Materialien sind natürllich auch wichtig.\n\nWenn du ein Erzvorkommen oder aber eine Alien POI entdeckt hast, wird sie permanent auf deiner Planetenkarte (M) markiert. Öffne die Karte und sieh nach, welche Orte du bereits entdeckt hast.\n\nZunächst lege dir den Bohrer in einen freien Platz in deiner Toolbar und wähle ihn aus. Gehe zu einem der Erzvorkommen die du gefunden hast (vorzugsweise Magnesium). Du siehst zunächst vielleicht nur eine Markierung an der Oberfläche. Du musst dich erst nach unten durchgraben. Hast du die Erzader gefunden, dann ziele NUR auf die Ader, möglichst nicht auf das umgebende Gestein. Dies bringt dir nicht viel, sondern verbraucht nur deine Ladungen. Die ertragreichen Adern sind unterschiedliche gefärbt. Schau genau hin und präge dir ein, was du abbauen musst!\n\nWenn du gräbst, fallen Brocken von Gestein und Erz auf den Boden. Ziele auf die Bruchstücke und drücke F um sie aufzusammeln. (Mit dem Stufe 2 Bohrer, den du im Techtree freischalten kannst, passiert dies automatisch!)\n\n[u]Tipps:[/u]\n- Die Planetenkarte zeigt dir nicht nur entdeckte Erzvorkommen, Basen oder Fahrzeuge, und interessante Landmarken, z.B  Gebäude von Aliens (sogenannte POIs), sondern sie gibt dir auch einen Hinweis, welche Ressourcen auf dem Planeten gefunden werden können!\n- Ist eine Erzlagerstätte erschöpft, erscheint nach kurzer Zeit ein Meteorit und bringt neue Erze dieses Typs auf den Planeten.\n\n[b]Empfehlungen:[/b]\n- Wenn du den ganzen BioTreibstoff für deinen T1 Bohrer verbraucht hast, sammele ein paar Meeresalgen vom Grund eines Sees und stelle neuen Treibstoff im Überlebenskonstruktor her!\n- Grabe nicht nur vertikal, denn du musst aus deiner Mine auch wieder heraus kommen können. Bist du am Grund einer tiefen Mine und dir gehen die Bohrer-Ladungen aus, hast du ein Problem.\n- Plane daher immer deinen Weg nach oben. Am besten auch so dass du so wenig wie möglich Erde mit deinen kostbaren Bohrer-Ladungen entfernen musst.\n- Aus flachen Minen kommst du mit deinem Jetpack (J) schnell wieder nach oben.\n- Wirf den Schotter nicht weg! Du benötigst ihn unter anderem für Zementblöcke, die eine gute, günstige und haltbare Baustoff-Alternative für deine Basis darstellen (verglichen mit der Stabilität von Holz oder den Kosten von Stahlblöcken)"
completeEscapePodMissionI,"Unknown Voice: Well done! Now you know how to survive and conquer a planet, right?!",""
chptitleBuildBase,"Escape Pod Mission II","Escape Pod Mission II"
chpdescBuildBase,"The second chapter of this tutorial will teach you how to set up your first base.Building a base will allow you to increase your self-sufficiency and overall capabilities.\n\nA basic layout consists of a few elements:\n- base starter block\n- generator\n- fuel tank\n- growing plots\n- growing light\n- large constructor\n- cannon turret\n- ammo box\n- oxygen station\n- oxygen tank\n\nIt's also a good idea to add a fridge, a food processor and a clone chamber early on.\n\n[b]Note: You can activate a building helper drone with F5. The Drone can build and remove blocks like you can do with your player avatar! It has a maximum range, though[/b]\n\nEach sub-chapter contains a number of main- and sub-tasks to follow as well as valuable background infos and [u]Tips[/u] at the end of each task-page (like the Construction Queue Shortcuts!). \n\nFore more details please refert to the PDA Knowledgebase! \n\n[b]You can always activate and deactivate each chapter manually![/b]","Das zweite Mission dieser Übungseinheit zeigt dir, wie du deine erste Basis baust.  Eine Basis eröffnet dir ganz neue Möglichkeiten und sichert dein Überleben..\n\nEine grundlegende Ausstattung für eine Basis besteht  aus den folgenden Einrichtungen:\n- Basis Starter\n- Generator\n- Kraftstofftank\n- Pflanzenbeete\n- Pflanzenlicht\n- Großer Konstruktor \n- Kanonen Geschütz\n- Munitionskiste\n O2 Station\n- O2 Tank\n\nSobald als möglich ebenfalls ergänzen solltest du einen Kühlschrank, einen Nahrungsmittel-Prozessor und die Klonkammer.\n\n[b]Hinweis: Aktiviere deine persönliche Bauhelfer-Drohne mit F5. Sie kann alles bauen und auch Blöcke entfernen. Sie hat allerdings eine begrenzte Reichweite![/b]\n\nJedes Mission enthält eine Reihe von Haupt- und Nebenaufgaben die du erfüllen musst. Am Ende jeder Aufgabe findest du [u]Tipps[/u], die dir weiterhelfen können (z.b. Warteschlangen-Abkürzungen!).\n\nWeitere Informationen findest du in der PDA Wissensdatenbank!\n\n[b]Du kannst jedes Mission jederzeit von Hand  aktivieren und deaktivieren[/b]"
tasktitleBaseStarter,"Base Starter","Grundstein legen"
acttitlePlaceBAStarter,"Place Base Starter","Basis-Starter platzieren"
actdescPlaceBAStarter,"Building a base always starts with crafting and laying down a base starter block.\n\nOpen your Survival constructor and find the 'base starter' block in the Building Blocks tab. Move the base starter block to a free slot in your toolbar and place it on the terrain.\n\nAfter having successfully placed the starter block, create at least 10 more blocks of any material to increase the base plate size. Choosing the material (Wood, Concrete, Steel or Hardened Steel) is up to you. Each of the materials has its own advantages and disadvantages concerning resource need, stability, armor and hitpoints.\n\n[u]Tips:[/u]\n- You can move the Core Block up and down vertically ahead of placing it. You do NOT need to level the ground. Just use PAGE UP or PAGE DOWN to level the Core block.\n- You can add a LINE of hull blocks by holding the left-mouse button and dragging the mouse\n- You can add a PLANE of blocks by holding CTRL and dragging the mouse. Place yourself on an elevated position - this will make creating a plane much easier! \n - You can deconstruct, disassemble, upgrade and rotate a placed block with the Multitool (you need to unlock it from the Techtree and craft the tool at first). Use right-mouse click to set the working mode of the Multitool. \n[b]PLEASE NOTE:[/b]   If you destroy a device with a filled inventory, like a constructor or fridge, its contents will drop in backpacks for you to collect. \n\n[b]Important:[/b]\n- All of your buildings are affected by the [b]Structural -Integrity[/b]\n- Different materials have different structural integrity characteristics![/b].\n- Press N to open the Build-Helper Menu and tick the box for the Structural Integrity Overlay - this will show you if your build is stable (green areas).. or if it will break with the next block placed (orange and red areas).","Das Bauen einer Basis beginnt immer damit, den Basis-Starter herzustellen und an einer geeigneten Stelle zu platzieren.\n\nÖffne den Überlebenskonstruktor und wähle die Vorlage 'Basis-Starter' im Reiter  BAUBLÖCKE aus. Wenn du den Basis-Starter fertig produziert hast, lege ihn in einen freien Platz in deiner Toolbar, wählen ihn aus und setze ihn an einer geeigneten Stelle auf dem Boden ab\n\nWenn du den Basis-Starter angelegt hast, stelle mindestens noch 10 weitere Konstruktionsblöcke her um die Grundplatte deiner Basis für die benötigten Geräte zu erweitern. Ob du die Blöcke aus Holz, Beton, Stahl oder Gehärtetem Stahl herstellst, ist dir überlassen. Jedes Material hat seine eigenen Vor- und Nachteile in Bezug auf Ressourcenkosten, Stabilität, Panzerung und Haltbarkeit.\n\n[u]Tipps[/u]\n- Du kannst den Kern Block vertikal nach oben und unten bewegen bevor du ihn setzt. Du musst den Boden NICHT vorher glätten! Nutze einfach BILD HOCH und BILD RUNTER zum die Platzierhöhe zu verändern.\n- Du kannst eine ganze REIHE an Konstruktionsblöcken platzieren, indem du die linke Maustaste gedrückt hältst und die Maus ziehst.\n- Du kannst eine FLÄCHE von Konstruktionsblöcken platzieren, indem du STRG gedrückt hältst und die Maus ziehst. Beim Erstellen einer Fläche, stelle dich vorher immer auf eine erhöhte Position! Das macht die Sache einfacher.\n- Mit dem Multifunktionstool kannst du Blöcke wieder abbauen, aufnehmen, rotieren oder upgraden (Das Gerät musst du im Techinkbaum freischalten und im Konstruktor herstellen). Klicke die rechte Maustaste um den Arbeitsmodus des Gerätes einzustellen.\n- Wenn du ein Gerät mit gefülltem Geräte-Inventar abbaust, erscheinen dessen Inhalte als Rucksäcke die du aufsammeln kannst.\n\n[b]Wichtig:[/b]\n- Alle Basen auf Planeten sind von der 'Strukturellen Integrität' betroffen.\n- Verschiedene Materialien haben verschiedene Charakteristiken bezogen auf die Strukturelle Integrität.\n- Drücke N um das Bauhilfen-Menü aufzurufen und schalte dort den den Modus zur Anzeige der Strukturellen Integrität an. Dieser  zeigt dir, ob deine Bauten stabil (grüne Bereiche) oder kurz davor sind, in sich  zusammen zu fallen (orange/rote Bereiche)."
tasktitleEquipBase,"Equip your Base (Stage I)","Basis ausrüsten (Teil I)"
acttitleSmallBAGen,"Place a Generator","Generator platzieren"
actdescSmallBAGen,"First, we need at least a small generator. Craft one in your survival constructor. Place the generator at a suitable place on you base.\n\n[b]Constructor Queue Shortcut![/b]\nAdd the following templates in exactly the given order to finish this task without any hassle: 1x Steel Plate > 9x Electronics > 19x Metal Components > 8x Cable > 3x Pipes > 4x Control Device > 1x Motor > 2x Capacitor Device > 2x Computer > 1x Reactor Core > START > add 1x Small Generator as soon as a queue slot is empty","Zunächst benötigst du mindestens einen Kleinen Generator. Stelle ihn im Überlebenskonstruktor her. Setze den Generator an einer passenden Stelle auf die Grundplatte deiner Basis.\n\n[b]Warteschlangen- Abkürzung![/b]\nFüge die folgenden Materialien in exakt der vorgegebenen Reihenfolge zu um die Aufgabe mit Leichtigkeit abzuschließen: 1x Stahlplatte > 9x Elektronik > 19x Metallkomponenten > 8x Kabel > 3x Rohre > 4x Steuergerät > 1x Motor > 2x Kondensatoreinheit > 2x Computer > 1x Reaktorkern > PRODUKTION STARTEN > 1x Generator klein (sobald ein Platz in der Warteschlange frei ist)"
acttitleSmallBAFuelTank,"Place a Fuel Tank","Kraftstofftank platzieren"
actdescSmallBAFuelTank,"Craft a small fuel tank in your survival constructor and place a fuel tank on your base\n\n[b]Constructor Queue Shortcut![/b]\n2x Electronics > 2x Metal Components > 2x Cable > 1x Small Fuel Tank","Stelle nun im Überlebenskonstruktor mindestens einen Kleinen Kraftstofftank her und platzieren ihn ebenfalls in deiner Basis.\n\n[b]Warteschlangen-Abkürzung![/b]\n2x Elektronik > 2x Metallkomponenten > 2x Kabel > 1x Treibstofftank klein"
acttitleBALargeConstr,"Place a Large Constructor","Konstruktor platzieren"
actdescBALargeConstr,"For creating more complex blocks like turrets and such, we need a better constructor.Craft a large constructor in the survival constructor and place it on your base.\n\nAlso an advantage: With the Large Constructor you do not need to craft intermediate materials like components manually anymore!\n\n[b]Constructor Queue Shortcut![/b]\n 1x Metal Plate > 9x Metal Components > 6x Electronics > 7x Cables > 4x Pipes > 4x Control Device > 2x Motor > 2x Computer > 1x Large Constructor","Um komplexere und schlagkräftigere Geräte wie den Kanonen Turm zu bauen, benötigst du einen besseren Konstruktor. Baue einen Großen Konstruktor im Überlebenskonstruktor und stelle ihn in deiner Basis auf.\n\nVorteil: Der Große Konstruktor kann Zwischenkomponenten selbst herstellen! Du musst sie dann nicht mehr manuell produzieren.\n\n[b]Warteschlangen-Abkürzung![/b]\n1x Stahlplatte > 9x Metallkomponenten > 6x Elektronik > 7x Kabel > 4x Rohre > 4x Steuergerät > 2x Motor > 2x Computer > 1x Konstruktor groß"
acttitleActivateBA,"Activate the Base","Basis aktivieren"
actdescActivateBA,"For creating the more advanced devices available in the large constructor, we need to activate the base, this means we need to power up the base.\n\nAdd some fuel packs to the fuel tank. Then stand on a block that is connected to your base and hit Y (default).\n\n[b]This will result in two things happening:[/b]\n1. It will allow us to run more advanced devices like the large constructor.\n2. This will make you visible for the aliens and call in drones attacking your base sooner or later\n\nSo have your Assault Rifle and enough 5.8mm Ammo ready and immediatelly progress to the next step and buid a turret!\n\nDrones approaching your base are marked as red arrows in your top-right radar screen! Make sure to loot the drones when downed! They are a great source of materials!.","Um die besseren Geräte im Großen Konstruktor herstellen zu können, benötigt  deine Basis Energie. Das bedeutet, wir müssen sie zunächst mit Energie versorgen.\n\nSetze einige Kraftstoffzellen in den Kraftstoff Tank ein. Dann stelle dich auf einen Block der mit deiner Basis in irgend einer Form verbunden ist und drücke Y. \n\nJetzt passieren zwei Dinge\n1. In der aktivierten Basis kannst du nun alle Geräte benutzen und höherwertige Maschinen herstellen\n2. Die Aktivierung führt dazu, dass die Aliens auf dich aufmerksam werden und deren Drohnen dich früher oder später angreifen.\n\nStelle genügend Munition her und lege dir dein Sturmgewehr bereit und baue so schnell wie möglich deinen ersten Geschützturm.\n\nDie Drohnen erkennst du an roten Pfeilen auf deiner Radarkarte. Schieße sie ab und leere ihr Inventar, denn sie haben oft sehr nützliche Dinge für dich dabei!"
tasktitleEquipBase2,"Equip your Base (Stage II)","Basis ausrüsten (Teil II)"
acttitleBATurrAmBox,"Add Turret & Ammo Box","Geschütz und Munitionskiste"
actdescBATurrAmBox,"At first, craft the Cannon Turret and some 30mm ammo from the WEAPONS AND TOOLS tab in the large constructor. Then, craft the ammo box from the DEVICES tab.\n[b] If you can not find both or other templates in your constructor template tab, you might need to unlock the tempates in the Techtree (F3) at first![/b]\n\nPlace the turret on an elevated place (like on a small socket of 3*3*2 blocks - but mind the structural integrity!). The Ammo Box can be placed anywhere in your base! You need to add the ammo to the ammo box of course!\n\nAdd the 30mm ammo into the ammo box. This will allow the turrets to automatically fetch their bullets from there!\n\nStand on a base block and open the Console Panel (P). Select the turret on the left side of the screen to access some targeting-settings: Other Factions, Alien (Drones, Soldiers), Predator (Aggressive NPCs), Prey (Non-aggressive NPCs)","Stelle zuerst das Kanonen Geschütz, sowie etwas 30mm Munition im WAFFEN und GERÄTE Reiter des Großen Konstruktors her. Dann erstelle die Munitionskiste, zu finden im Reiter GERÄTE. \n\n[b]Wenn du beide Vorlagen (und auch andere) in deinem Konstruktor nicht finden kannst, musst du sie wahrscheinlich erst im Techtree (F3) freischalten![/b]\n\nStelle den Turm auf eine etwas erhöhte Plattform, z.B 3*3 und 2 Blöcke hoch - aber beachte dabei die Strukturelle Integrität. Die Munitionskiste kann überall in deiner Basis gesetzt werden. Fülle sie mit der Munition und der Turm wird sich automatisch nachladen.\n\nStelle dich auf einen Block deiner Basis und öffne die Steuerkonsole (P). Klicke in der Liste links deinen Turm an. Im Detail-Fenster siehst du nun einige auswählbare Ziel-Voreinstellungen: Andere Fraktionen, Alien (Drohnen, Soldaten), Jäger (Aggressive Tiere) und Beute (Harmlose Tiere/NPCs)"
acttitleBABasicDevices,"Add O2 and Food Production","O2 und Nahrungserzeugung"
actdescBABasicDevices,"Craft and place the Fridge (stops perish timers), O2 Station (refills your suit), the Small O2 Tank (stores oxygen bottles, created in the O2 generator) and the Food Processor.\n\n All those devices are missing from your constructor template tabs? You may first need to unlock them in the TechTree (F3)!\n\n[u]Tip:[/u]\n- Don't scrap the survival constructor! You only get 1 and can't make a replacement. Better use it for ammo, refining ores or building basic blocks!\n- When you start on Kelt/Mato/Mercenary Camp, an O2 Station and an O2 Tank are no pressing needs, as the atmosphere is breathable. If you started on Kelt/Mato/Mercenary Camp, prioritize those devices even ahead of a turret!\n- Open the Control Panel (P) and set your base as your 'Home Base'. If you die in a remote place or on another planet or in space, this will allow you to spawn close to this Base again\n-Add the Clone Chamber to your Home Base and the Home-Base Respawn option will take you right there (without the Clone Chamber, you'll spawn somewhere at or around your base)!\n\n[b]Note:[/b]: The Large Constructor and the Food Processor are partly automated devices. You do not need to craft intermediate products such as components manually. A yellow text in the detail screen of a template indicates, that you don't have the components, but enough base materials like ore or ingots. As long as you have added enough ore or ingots to the constructor inventory, the device will create all intermediate products on its own.","Stelle jetzt einen Kühlschrank her (Stoppt die Verfallszeit), sowie die O2 Station (füllt deinen Anzug mit Sauerstoff nach). Produziere außerdem einen O2 Tank (benötigt für die O2 Station, gefüllt mit O2 Flaschen aus dem O2 Generator) und einen Nahrungsmittel-Prozessor.\n\nDir fehlen all diese Geräte in den Vorlagen? Prüfe, ob sie im Technikbaum (F3) freigeschalten sind!\n\n[u]Tipps:[/u]\n- Zerstöre niemals absichtlich den Überlebenskonstruktor. Du hast nur Einen und kannst keinen Ersatz herstellen. Nutze ihn besser auch weiterhin, z.b. für einfache Vorgänge wie das Verarbeiten von Erzen, das Herstellen von Munition oder einfachen Konstruktionsblöcken und Komponenten.\n- Wenn du auf Kelt/Mato/Mercenary Camp startest, sind ein O2 Tank und eine O2 Station zu Anfang nicht wirklich wichtig. Startest du aber auf Kelt/Mato/Mercenary Camp, solltest du die beiden Geräte noch vor dem Geschützturm bauen!\n- Öffne die Steuerkonsole und mache deine Basis zu deinem Startpunkt. Wenn du weit entfernt ohne eine wirkliche Rückkehrmöglichkeit stirbst, z.B. im Weltraum oder auf einem anderen Planeten, erlaubt dir diese Einstellung, in der Nähe deiner Heimatbasis wiederbelebt zu werden.\n- Mit der Klonkammer kannst du zusätzlich exakt bestimmen, wo genau in deiner Basis du wiederbelebt wirst.  Ohne die Klonkammer steigst du lediglich 'in der Nähe' deiner Heimatbasis wieder ins Spiel ein!\n\n[b]Hinweis:[/b] Der Große Konstruktor sowie der Nahrungsmittelprozessor sind teilweise automatisierte Geräte. Du brauchst hierbei die Zwischenprodukte, wie z.B. Komponenten nicht selbst herstellen. Eine gelbe Schrift in der Detailansicht einer Vorlage weist dich darauf hin, dass zu zwar die notwendigen Komponenten nicht im Konstruktor Inventar hast, allerdings genügend Grundmaterialien vorhanden sind. Solange dies gewährleistet ist, kann der Constructor die Zwischenprodukte alle selbst herstellen.\n"
tasktitleGardening,"Gardening","Gartenbau"
acttitleGrowingPlots,"Place Growing Plots","Pflanzenbeete setzen"
actdescGrowingPlots,"Collecting plants and hunting animals are only two of three sources for self-sustained survival. The third option: Gardening. Open your inventory and move the growing plots and 2 sprouts (durian and pumpkin) to your toolbar. Place the growing plots next to each other.","Pflanzen sammeln und Beute jagen sind nur zwei von drei Möglichkeiten für ein sicheres Überleben. Die dritte Option: einen Garten anlegen! Öffne dein Inventar und verschieben die beiden Pflanzenbeete, das Pflanzenlicht sowie den Durian- und Kürbiskeim jeweils in einen freien Platz deiner Toolbar. Setze dann die beiden Pflanzenbeete direkt nebeneinander an die Grundplatte deiner Basis."
acttitleSprouts,"Seed Sprouts","Keime setzen"
actdescSprouts,"Select a sprout and place it into the growing plot. Do the same with the other sprout.","Wähle jeweile einen Keimling aus uns platziere ihn im Pflanzenbeet."
acttitleGrowingLight,"Add Growing Light","Pflanzenlicht aufhängen"
actdescGrowingLight,"Plants in a growing plot need a growing light shining on them to be able to grow. Build an overhanging structure with 2 blocks of free space between the growing plot and the ceiling. Move the Grow Light from your inventory into the toolbar, then place the Grow Light right above the growing plots. The warm light will make your sprouts grow.","Pflanzen in einem Pflanzenbeet benötigen ein Pflanzenlicht um zu wachsen. Baue über den Pflanzenbeeten eine Blockreihe als Träger oder eine Decke - achte aber darauf, das zwischen der Oberkante der Pflanzenbeete und der Unterkante der neuen Deckenkonstruktion exakt 2 Blöcke frei sind! Hänge das Pflanzenlicht jetzt so auf, dass sein Lichtkegel auf die Pflanzenbeete scheint."
acttitleHarvest,"Harvest Crops","Ernten"
actdescHarvest,"All crops have different growing times. When both the durian- and pumpkin plant are full grown, your crosshair will change to the 'accessable' version while pointing at the plant. Hit F and collect the crops.\n\n[u]Tips:[/u]\n- Sprouts can be found in loot of dead corpses, in cargo boxes or can be created in the food processor.\n- One growing light can power a 3*3 field at max. If you build your overhanging structure, make sure you place the growing light on the ceiling in the centre of any 3*3 farming field.\n- Some harvested crops are edible directly after being harvested, but most of the crops will benefit from a refinement. Put the crops into the inventory of the food processor and create a meal!\n- Grown and cooked food will not give you the poisoned food disease!","Jede Pflanze hat unterschiedlich lange Wachstumszeiten. Wenn sie voll ausgereift sind und du mit dem Mauszeiger aus der Nähe auf sie deutest, verändet sich das Fadenkreuz zum bekannten 'Aufsammeln' Symbol. Wenn die Durian- und Kürbispflanze ausgereift sind, klicke F um die Pflanzen zu ernten.\n\n[u]Tipps:[/u]\n- Keimlinge können im Inventar von erlegten Tieren, bei Feinden sowie in Containern gefunden oder im Nahrungsmittel-Prozessor hergestellt werden.\n- Ein einzelnes Pflanzenlicht kann eine Fläche von maximal 3x3 Pflanzenbeeten abdecken.\n- Manche Pflanzen kann man direkt nach dem Ernten essen. Die meisten profitieren aber davon, wenn sie im Nahrungsmittel-Prozesser aufbereitet oder in einer höherwertigen Mahlzeit verwendet werden!\n- Selbst angebaute Pflanzen sowie gekochtes Essen erzeugen keine Nahrungsmittelvergiftung!"
completeEscapePodMissionII,"Unknown Voice: Use your base building skills to expand to different planets. You will need multiple backup bases.",""
chptitleBuildingVessel,"Escape Pod Mission III","Escape Pod Mission III"
