KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish
KitchenCounter,Kitchen Counter,Küchentheke,Cuisine comptoir,Bancone da Cucina,Encimera de cocina,Balcão da Cozinha,Balcão de Cozinha,Lada kuchenna,Кухонный стол,キッチン,橱台,廚房櫃檯,주방 카운터,Mutfak Tezgahı
KitchenTable,Dining Table Bench,Esstisch mit Bank,Table à manger,Tavolo da Pranzo,Mesa de comedor,Banco Mesa de Jantar,Banco de Mesa de Jantar,Stół obiadowy,Обеденный стол,ダイニングテーブル,餐桌,餐桌長椅,다이닝 테이블 벤치,Yemek Masası Sıraları
LabTable1,Lab Table 1,Labortisch 1,Table laboratoire 1,Bancone da Laboratorio 1,Mesa de laboratorio 1,Mesa de Laboratório 1,Mesa de Laboratório 1,Stół laboratoryjny 1,Лабораторный стол 1,ラボ・テーブル１,实验台 1,實驗室桌1,실험실 테이블 1,Lab Masası 1
LabTable2,Lab Table 2,Labortisch 2,Table laboratoire 2,Bancone da Laboratorio 2,Mesa de laboratorio 2,Mesa de Laboratório 2,Mesa de Laboratório 2,Stół laboratoryjny 2,Лабораторный стол 2,ラボ・テーブル２,实验台 2,實驗室桌2,실험실 테이블 2,Lab Masası 2
LabTable3,Lab Table 3,Labortisch 3,Table laboratoire 3,Bancone da Laboratorio 3,Mesa de laboratorio 3,Mesa de Laboratório 3,Mesa de Laboratório 3,Stół laboratoryjny 3,Лабораторный стол 3,ラボ・テーブル３,实验台 3,實驗室桌3,실험실 테이블 3,Lab Masası 3
Level4Prop2,Repository 1,Ablage 1,Stockage 1,Deposito 1,Almacén 1,Depósito 1,Repositório 1,Składnica 1,Хранилище 1,倉庫1,贮藏箱 1,倉庫1,저장소 1,Depo 1
Level4Prop3,Repository 2,Ablage 2,Stockage 2,Deposito 2,Almacén 2,Depósito 2,Repositório 2,Składnica 2,Хранилище 2,倉庫2,贮藏箱 2,倉庫2,저장소 2,Depo 2
Level5FreezerOpened,Cryo Chamber,Kryogenkammer,Chambre Cryo,Camera Criogenica,Cámara de criogenización,Câmara Crio,Câmara Crio,Komora kriogeniczna,Криокамера,チャンバー,冷冻箱,冷凍室,극저온 챔버,Dondurucu Odası
LockerWShelves,Locker,Spind,Casier,Armadietto,Depósito,Armário,Armário,Szafka,Шкафчик,ロッカー,更衣箱,儲物櫃,로커,Dolap
OnionFlowerDeco,Mega Onion Flower,Riesenzwiebelpflanze,Fleur oignon Alien,Fiore di Cipolla Gigante,Planta de cebolla mega,Mega Flor Cebola,Mega Flor De Cebola,Kwiat Mega Cebuli,Цветок Мега-луковица,メガ・オニオン・フラワー,外星洋葱花,超大洋蔥花,대형 양파꽃,Mega Soğan Bitkisi
OperationTableWDrawers,Operating Table,Operationstisch,Console d'opération,Tavolino Chirurgico,Mesa de operaciones,Mesa de Operações,Mesa de Operações,Stolik operacyjny,Операционный стол,オペレーション・デスク,操作台,操作臺,작업대,Ameliyat Masası
Props6BoxLarge1,Box Large 1,Box groß 1,Grand container 1,Contenitore Grande 1,Caja grande 1,Caixa Grande 1,Caixa Grande 1,Duża skrzynia 1,Ящик большой 1,ラージ・ボックス1,大型储物箱 1,大箱子1,박스 대 1,Büyük Kutu 1
Props6BoxLarge2,Box Large 2,Box groß 2,Grand container 2,Contenitore Grande 2,Caja grande 2,Caixa Grande 2,Caixa Grande 2,Duża skrzynia 2,Ящик большой 2,ラージ・ボックス2,大型储物箱 2,大箱子2,박스 대 2,Büyük Kutu 2
Props6BoxMedium1,Box Medium,Box mittel,Container moyen,Contenitore Medio,Caja mediana,Caixa Média,Caixa Médio,Średnia skrzynia,Ящик средний,ミディア・ボックス,中型储物箱,中型箱子,박스 중,Orta Boy Kutu
ReceptionTable,Reception Table,Rezeptionstisch,Table Accueil,Tavolo da Reception,Mesa de recepción,Mesa de Receção,Mesa de Recepção,Stół recepcyjny,Стойка ресепшен,レセプションテーブル,接待台,接待台,리셉션 테이블,Resepsiyon Masası
ReceptionTableCorner,Reception Table Corner,Rezeptionstisch Ecke,Table Accueil en L,Tavolo da Reception (Angolo),Mesa de recepción de esquina,Mesa de Receção Canto,Canto de Mesa de Recepção,Stół recepcyjny - róg,Стойка ресепшен угловая,レセプション・コーナーテーブル,接待台拐角,接待台轉角,리셉션 테이블 코너,Resepsiyon Masası Köşesi
ReceptionTableCornerThin,Reception Table Corner - Thin,Rezeptionstisch Ecke - schmal,Coin de Table Accueil (fin),Tavolo da Reception (Angolo) - Sottile,Mesa de recepción de esquina - fina,Mesa de Receção Canto - Fino,Canto de Mesa de Recepção - Fino,"Stół recepcyjny - róg, pełny",Стойка ресепшен угловая (тонкая),薄型レセプション・コーナーテーブル,接待台拐角 - 单层,接待台轉角- 薄,리셉션 테이블 코너 - 얇음,Resepsiyon Masası Köşesi - İnce
ReceptionTableNPC,Reception Table NPC,Empfangstisch NPC,Table Accueil PNJ,Tavolo da Reception PNG,Mesa de recepción NPC,Mesa de Receção NPC,Mesa de Recepção NPC,Stół recepcyjny NPC,Стойка ресепшен NPC,レセプションテーブルNPC,接待台 NPC,接待台NPC,리셉션 테이블 NPC,Resepsiyon Masası NPC
ReceptionTableThin,Reception Table - Thin,Rezeptionstisch - schmal,Table Accueil (fin),Tavolo da Reception (Sottile),Mesa de recepción - fina,Mesa de Receção - Fino,Mesa de Recepção - Fina,Stół recepcyjny - pełny,Стойка ресепшен (тонкая),薄型レセプションテーブル,接待台 - 单层,接待台- 薄,리셉션 테이블 - 얇음,Resepsiyon Masası - İnce
Scanner2,Scanner 2,Scanner 2,Scanner 2,Scanner 2,Scanner 2,Scanner 2,Scanner 2,Skaner 2,Сканер 2,スキャナ－２,扫描仪 2,掃描器2,스캐너 2,Tarayıcı 2
Scanner3,Scanner 3,Scanner 3,Scanner 3,Scanner 3,Scanner 3,Scanner 3,Scanner 3,Skaner 3,Сканер 3,スキャナー３,扫描仪 3,掃描器3,스캐너 3,Tarayıcı 3
ScannerBase1,Scanner 1,Scanner 1,Scanner 1,Scanner 1,Scanner 1,Scanner 1,Scanner 1,Skaner 1,Сканер 1,スキャナー１,扫描仪 1,掃描器1,스캐너 1,Tarayıcı 1
SciencelabMS,Science Lab (Deco),Labor (Deco),Laboratoire (déco),Laboratorio Scientifico,Laboratorio de ciencia (Deco),Laboratório de Ciências (Deco),Laboratório de Ciência (Deco),Laboratorium naukowe (deko),Научная лаборатория (Декор),研究室(Deco),科学实验室 (装饰),科學實驗室（裝飾）,연구 실험실(데코),Bilim Laboratuvarı (Deko)
ScifiBed,Bed,Bett,Lit,Letto,Cama,Cama,Cama,Łóżko,Кровать,ベッド,床,床,침대,Yatak
ScifiChair,Chair,Stuhl,Siège,Sedia,Silla,Cadeira,Cadeira,Fotel,Кресло,椅子,椅子,椅子,의자,Sandalye
ScifiComputerTable,Computer Table,Computertisch,Table d'ordinateur,Tavolo da Computer,Mesa de ordenador,Mesa de Computador,Mesa de Computador,Biurko komputerowe,Компьютерный стол,コンピュータテーブル,电脑桌,電腦桌,컴퓨터 테이블,Bilgisayar Masası
ScifiContainer1,Cargo Box 1,Frachtbox 1,Container 1,Scatola di Carico 1,Caja de carga 1,Caixa de Carga 1,Container de Carga 1,Skrzynia 1,Контейнер 1,カーゴボックス1,货物箱 1,貨箱1,화물 상자 1,Kargo Kutusu 1
ScifiContainer2,Cargo Box 2,Frachtbox 2,Container 2,Scatola di Carico 2,Caja de carga 2,Caixa de Carga 2,Container de Carga 2,Skrzynia 2,Контейнер 2,カーゴボックス2,货物箱 2,貨箱2,화물 상자 2,Kargo Kutusu 2
ScifiContainerEnergy,Power Storage (Deco),Energiebehälter (Deko),Stockage accumulateurs (déco),Accumulatore Energetico (Deco),Depósito de energía (Deco),Armazenamento Energético (Deco),Armazenamento de Energia (Deco),Akumulator (deko),Энергохранилища (декор),パワーストレージ (Deco),蓄电器 (装饰),電力存放裝置（裝飾）,파워 저장소(데코),Güç Deposu (Deko)
ScifiContainerPower,Cargo Box 3,Frachtbox 3,Container 3,Scatola di Carico 3,Caja de carga 3,Caixa de Carga 3,Container de Carga 3,Skrzynia 3,Контейнер 3,カーゴボックス3,货物箱 3,貨箱3,화물 상자 3,Kargo Kutusu 3
ScifiLargeSofa,Bench,Sitzbank,Banc,Panchina,Banco,Banco,Banco,Ławka,Скамейка,ベンチ,长椅,長椅,벤치,Sıra
ScifiLargeSofaNPC,Bench 2 NPC,Sitzbank 2 NPC,Banc 2 PNJ,Panchina 2 PNG,Banco 2 NPC,Banco 2 NPC,Banco 2 NPC,Ławka 2 NPC,Скамейка 2 NPC,ベンチ2 NPC,长椅 2 NPC,長椅2NPC,벤치 2 NPC,Sıra 2 NPC
ScifiMediaCenter,Media Center,Mediacenter,Ensemble Multimédia,Centro Multimediale,Centro de medios,Centro Multimédia,Central de Mídia,Centrum multimedialne,Мультимедийный центр,メディアセンター,媒体中心,醫療中心,미디어 센터,Medya Merkezi
ScifiNightstand,Small Table,Beistelltisch,Table,Tavolo Piccolo,Mesa pequeña,Mesa Pequena,Mesa Pequena,Szafka nocna,Столик,ナイトスタンド,床头柜,小桌子,소형 테이블,Küçük Masa
ScifiPlant,Artificial Indoor Plant 4,Künstliche Zimmerpflanze 4,Plante artificielle d'intérieur 4,Pianta Artificiale da Interni 4,Planta artificial de interior 4,Planta de Interiores Artificial 4,Planta Artificial Interna 4,Sztuczna roślina domowa 4,Искусственное растение 4,観葉植物4,盆栽 4,人造室內植物4,실내 인공 식물 4,Yapay Ev Bitkisi 4
ScifiShower,Shower 2,Dusche 2,Douche 2,Doccia 2,Ducha 2,Chuveiro 2,Chuveiro 2,Prysznic 2,Душ 2,シャワー2,沐浴间 2,浴室2,샤워 2,Duş 2
ScifiSofa,Bench 2,Sitzbank 2,Banc 2,Panchina 2,Banco 2,Banco 2,Banco 2,Ławka 2,Скамейка 2,ベンチ2,长椅 2,長椅2,벤치 2,Sıra 2
ScifiSofaNPC,Bench NPC,Sitzbank NPC,Banc PNJ,Panchina PNG,Banco NPC,Banco NPC,Banco NPC,Ławka NPC,Скамейка NPC,ベンチNPC,长椅 NPC,長椅NPC,벤치 NPC,Sıra NPC
ScifiStorage,Closet,Schrank,Rangement,Guardaroba,Armario,Roupeiro,Armário,Schowek,Стенной шкаф,クローゼット,衣柜,衣櫃,벽장,Giysi Dolabı
ScifiTable,Table,Tisch,Table,Tavolo,Mesa,Mesa,Mesa,Stół,Стол,テーブル,桌子,桌子,테이블,Masa
ScifiTableNPC,Table 1 NPC,Tisch 1 NPC,Table 1 PNJ,Tavolo 1 PNG,Mesa 1 NPC,Mesa 1 NPC,Mesa 1 NPC,Stół 1 NPC,Стол 1 NPC,テーブル 1 NPC,桌子 1 NPC,桌子1NPC,테이블 1 NPC,Masa 1 NPC
ScifiTableNPC2,Table 2 NPC,Tisch 2 NPC,Table 2 PNJ,Tavolo 2 PNG,Mesa 2 NPC,Mesa 2 NPC,Mesa 2 NPC,Stół 2 NPC,Стол 2 NPC,テーブル 2 NPC,桌子 2 NPC,桌子2NPC,테이블 2 NPC,Masa 2 NPC
ScifiTableNPC3,Table 3 NPC,Tisch 3 NPC,Tablee 3 PNJ,Tavolo 3 PNG,Mesa 3 NPC,Mesa 3 NPC,Mesa 3 NPC,Stół 3 NPC,Стол 3 NPC,テーブル 3 NPC,桌子 3 NPC,桌子3NPC,테이블 3 NPC,Masa 3 NPC
ScifiTableV2,Table 2,Tisch 2,Table 2,Tavolo 2,Mesa 2,Mesa 2,Mesa 2,Stół 2,Стол 2,テーブル 2,桌子 2,桌子2,테이블 2,Masa 2
ScifiTableV2NPC,Table 2 NPC,Tisch 2 NSC,Table 2 PNJ,Tavolo 2 PNG,Mesa 2 NPC,Mesa 2 NPC,Mesa NPC 2,Stół 2 NPC,Стол 2 NPC,テーブル 2 NPC,桌子 2 NPC,桌子2NPC,테이블 2 NPC,Masa 2 NPC
Shower,Shower,Dusche,Douche,Doccia,Ducha,Chuveiro,Chuveiro,Prysznic,Душ,シャワー,沐浴间,浴室,샤워,Duş
SmallTable,Small Table,Kleiner Beistelltisch,Table basse,Tavolino,Mesa pequeña,Mesa Pequena,Mesa Pequena,Ława,Маленький стол,スモール・テーブル,茶几,小桌子,소형 테이블,Küçük Masa
Sofa,Sofa,Sofa,Sofa,Divano,Sofá,Sofá,Sofá,Kanapa,Софа,ソファー,沙发,沙發,소파,Kanepe
SofaNPC,Sofa NPC,Sofa NSC,Canapé PNJ,Divano PNG,Sofá NPC,Sofá NPC,Sofá NPC,Kanapa NPC,Кровать NPC,ソファーNPC,沙发 NPC,沙發NPC,소파 NPC,Kanepe NPC
SolarBlock,Solar Panel Slope,Solarpanel schräg,Panneau solaire incliné,Pannello Solare Inclinato,Panel solar inclinado,Inclinação Painel Solar,Painel Solar Inclinado,Panel słoneczny - pochylony,Наклонная солнечная панель,ソーラパネル・スロープ,斜面太阳能板,太陽電池斜板,솔라 패널 슬로프,Güneş Paneli Eğimi
SolarPanel,Solar Panel Plate,Solarpanel,Panneau solaire,Pannello Solare,Placa de panel solar,Placa Painel Solar,Placa de Painel Solar,Panel słoneczny,Солнечная панель,ソーラパネル・プレート,平面太阳能板,太陽電池平板,솔라 패널 플레이트,Güneş Paneli Levhası
StandingNPC,Standing NPC,Stehende NSC,PNJ debout,PNG in Piedi,Pie NPC,NPC Estacionário,NPC Parado,NPC - stojący,Стоящие NPC 1,NPC,站立 NPC,站立NPC,스탠딩 NPC,Ayakta Duran NPC
StandingNPC2,Standing NPC 2,Stehende NSC 2,PNJ 2 debout,PNG 2 in Piedi,Pie NPC 2,NPC Estacionário 2,NPC Parado 2,NPC 2 - stojący,Стоящие NPC 2,NPC 2,站立 NPC 2,站立NPC2,스탠딩 NPC 2,Ayakta Duran NPC 2
TableTV,TV Table,TV Tisch,Meuble télé,Tavolo con Tv,Mesa de TV,Mesa de TV,Mesa de TV,Telewizor,ТВ панель,モニターテーブル,电视柜,電視桌,TV 테이블,TV Masası
Tank1,Tank1,Tank 1,Réservoir 1,Serbatoio1,Tanque1,Tanque1,Tanque 1,Zbiornik 1,Бак 1,タンク１,罐子1,罐子1,탱크 1,Tank1
Tank2,Tank2,Tank 2,Réservoir 2,Serbatoio2,Tanque2,Tanque2,Tanque 2,Zbiornik 2,Бак 2,タンク２,罐子2,罐子2,탱크 2,Tank2
Toilet,Toilet,Toilette,Toilettes,Water,Váter,WC,Banheiro,Ubikacja,Туалет,トイレ,卫生间,廁所,화장실,Tuvalet
TurretRadar,Radar (Deco),Radar (Deco),Radar (Déco),Radar (Deco),Radar (Deco),Radar (Deco),Radar (Deco),Radar (deko),Радар (декор),レーダー(Deco),雷达 (装饰),雷達（裝飾）,레이더(데코),Radar (Deko)
Air,Container,Container,Container,Container,Contenedor,Recipiente,Container,Pojemnik,Контейнер,コンテナ,货柜,容器,컨테이너,Konteyner
AlienContainer,Alien Container,Alien Container,Container Alien,Container Alieno,Contenedor alienígena,Recipiente Alien,Container Alien,Pojemnik obcych,Контейнер инопланетян,エイリアン・コンテナ,外星货柜,外星容器,외계 컨테이너,Uzay Konteyneri
AlienContainerRare,Alien Container (Rare),Alien Container (selten),Container Alien (rare),Container Alieno (Raro),Contenedor alienígena (raro),Recipiente Alien (Raro),Container Alien (Raro),Pojemnik obcych (Rzadki),Контейнер инопланетян (древний),エイリアン・コンテナ (Rare),外星货柜（少见）,外星容器（稀有）,외계 컨테이너(희귀),Uzay Konteyneri (Nadir)
AlienContainerUltraRare,Alien Container (Ultra Rare),Alien Container (extrem selten),Container Alien (ultra rare),Container Alieno (Ultra Raro),Contenedor alienígena (ultra raro),Recipiente Alien (Ultra Raro),Container Alien (Ultra Raro),Pojemnik obcych (Ekstremalnie rzadki),Контейнер инопланетян (древнейший),エイリアン・コンテナ (Ultra Rare),外星货柜（珍稀）,外星容器（超稀有）,외계 컨테이너(초희귀),Uzay Konteyneri (Ultra Nadir)
AlienContainerVeryRare,Alien Container (Very Rare),Alien Container (sehr selten),Container Alien (très rare),Container Alieno (Molto Raro),Contenedor alienígena (muy raro),Recipiente Alien (Muito Raro),Container Alien (Muito Raro),Pojemnik obcych (Bardzo rzadki),Контейнер инопланетян (очень древний),エイリアン・コンテナ (Very Rare),外星货柜（稀有）,外星容器（很稀有）,외계 컨테이너(매우 희귀),Uzay Konteyneri (Çok Nadir)
AlienDeviceBlocks,Alien Blocks,Alien Blöcke,Blocs Alien,Blocchi Alieni,Bloque alienígena,Blocos Alien,Blocos Aliens,Bloki obcych (grupa),Блоки инопланетян,エイリアンブロック,外星方块组,外星方塊,외계 블록,Uzay Blokları
ArmorLocker,Armor Locker,Anzugstation,Casier armures,Postazione Armatura,Depósito de armadura,Armário para Armadura,Armário de Armadura,Szafa na skafander,Шкаф амуниции,アーマーロッカー,护甲更衣箱,護甲櫃,아머 로커,Zırh Dolabı
ArmorLockerSV,"Armor Locker (SV, HV)","Anzugstation (KR, BG)","Casier armures (SV,HV)","Postazione Armatura (V,H)","Depósito de armadura (SV, HV)","Armário para Armadura (NP, NF)","Armário de Armadura (NP, P)","Szafa na skafander (SV, HV)","Шкаф амуниции (МС, ПС)","アーマーロッカー(SV,HV)",护甲更衣箱（小型舰船用）,護甲櫃（小型、懸浮飛船）,"아머 로커(SV, HV)","Zırh Dolabı (SV, HV)"
ATM,ATM,ATM,Guichet automatique,Bancomat,Cajero,ATM,Caixa Eletrônico,Bankomat,Банкомат,ATM,ATM,自動取款機,ATM,ATM
AutoMinerCore,Auto Miner Core,Bergbaugerätkern,Noyau de mineur auto.,Nucleo Modulo di Estrazione Mineraria,Auto núcleo minero,Núcleo Mineiro Auto,Núcleo de Auto Minerador,Rdzeń auto-górnika,Ядро Экстрактора,自動掘削装置(コア),自动采矿核心,自動採礦核心,자동 채굴기 코어,Otomatik Madenci Çekirdeği
AutoMiningDeviceT1,Auto Mining Device (T1),Automatisches Bergbaugerät (T1),Auto-mineur V1,Modulo di Estrazione Mineraria (V1),Artefacto de auto minería (T1),Dispositivo Extração Automática (T1),Dispositivo de Auto-mineração (T1),Auto-górnik (T1),Экстрактор (К1),自動掘削装置(T1),自动采矿装置 (T1),自動採礦設備（T1）,자동 채굴 장치(T1),Otomatik Maden Cihazı (T1)
AutoMiningDeviceT2,Auto Mining Device (T2),Automatisches Bergbaugerät (T2),Auto-mineur V2,Modulo di Estrazione Mineraria (V2),Artefacto de auto minería (T2),Dispositivo Extração Automática (T2),Dispositivo de Auto-mineração (T2),Auto-górnik (T2),Экстрактор (К2),自動掘削装置(T2),自动采矿装置 (T2),自動採礦設備（T2）,자동 채굴 장치(T2),Otomatik Maden Cihazı (T2)
AutoMiningDeviceT3,Auto Mining Device (T3),Automatisches Bergbaugerät (T3),Auto-mineur V3,Modulo di Estrazione Mineraria (V3),Artefacto de auto minería (T3),Dispositivo Extração Automática (T3),Dispositivo de Auto-mineração (T3),Auto-górnik (T3),Экстрактор (К3),自動掘削装置(T3),自动采矿装置 (T3),自動採礦設備（T3）,자동 채굴 장치(T3),Otomatik Maden Cihazı (T3)
Backpack,Backpack,Rucksack,Sac à dos,Zaino,Mochila,Mochila,Mochila,Plecak,Рюкзак,バックパック,背包,背包,백팩,Sırt Çantası
CloneChamber,Clone Chamber,Klonkammer,Chambre de clonage,Camera di Clonazione,Cámara de clonación,Câmara Clonagem,Câmara de Clonagem,Komora klonowania,Камера клонирования,クローン・チャンバー,克隆舱（复活点）,複製室,클론 챔버,Klon Odası
CockpitBlocksCV,Cockpit Blocks CV,Cockpit Blöcke GR,Blocs cockpit CV,Cabine di Pilotaggio (NA),Bloque de cabina CV,Blocos Cockpit NC,Blocos de Cabines NC,Kokpit CV (grupa),Блок кабины БС,コックピットCV,母舰驾驶台方块组,主力飛船座艙方塊,조종실 블록 CV,Kokpit Blokları CV
CockpitBlocksSV,Cockpit Blocks,Cockpit Blöcke,Blocs cockpit SV/HV,Cabine di Pilotaggio,Bloque de cabina,Blocos Cockpit,Blocos de Cabines,Kokpit (grupa),Блок кабины МС,コックピット,驾驶舱方块组,座艙方塊,조종실 블록,Kokpit Blokları
CockpitMS01,Cockpit 1,Cockpit 1,Cockpit 1,Cabina di Pilotaggio 1,Cabina 1,Cockpit 1,Cabine 1,Kokpit 1,Кабина 1,コックピット,驾驶台 1,座艙1,조종실 1,Kokpit 1
CockpitMS02,Cockpit 2,Cockpit 2,Cockpit 2,Cabina di Pilotaggio 2,Cabina 2,Cockpit 2,Cabines,Kokpit 2,Кабина 2,コックピット2,驾驶台 2,座艙2,조종실 2,Kokpit 2
CockpitMS03,Cockpit 3,Cockpit 3,Cockpit 3,Cabina di Pilotaggio 3,Cabina 3,Cockpit 3,Cabine 3,Kokpit 3,Кабина 3,コックピット３,驾驶台 3,座艙3,조종실 3,Kokpit 3
CockpitOpen2SV,Cockpit 2 (open),Cockpit 2 (offen),Cockpit 2 (ouvert),Cabina di Pilotaggio 2 (Aperta),Cabina 2 (abierta),Cockpit 2 (aberto),Cabine 2 (aberta),Kokpit 2 (otwarty),Кабина 2 (открытая),コックピット2(open),驾驶舱 2 （敞开）,座艙2（開啟）,조종실 2(열림),Kokpit 2 (açık)
CockpitOpenSV,Cockpit 1 (open),Cockpit 1 (offen),Cockpit 1 (ouvert),Cabina di Pilotaggio 1 (Aperta),Cabina 1 (abierta),Cockpit 1 (aberto),Cabine 1 (aberta),Kokpit 1 (otwarty),Кабина 1 (открытая),コックピット1(open),驾驶舱 1 （敞开）,座艙1（開啟）,조종실 1(열림),Kokpit 1 (açık)
CockpitSV,Cockpit (obsolete),Cockpit (alt),Cockpit,Cabina di Pilotaggio (Obsoleta),Cabina (obsoleta),Cockpit (obsoleto),Cabine (obsoleto),Kokpit (przestarzały),Кабина (устаревшая),コックピット6 (obsolete),驾驶舱（废弃）,座艙（老式）,조종실(구식),Kokpit (eski)
CockpitSV_fighter,Cockpit (obsolete),Cockpit (alt),Cockpit,Cabina di Pilotaggio (Obsoleta),Cabina (obsoleta),Cockpit (obsoleto),Cabine (obsoleto),Kokpit (przestarzały),Кабина (устаревшая),コックピット8 (obsolete),驾驶舱（废弃）,座艙（老式）,조종실(구식),Kokpit (eski)
CockpitSV_fighter_Noscale,Cockpit (obsolete),Cockpit (alt),Cockpit,Cabina di Pilotaggio (Obsoleta),Cabina (obsoleta),Cockpit (obsoleto),Cabine (obsoleto),Kokpit (przestarzały),Кабина (устаревшая),コックピット7 (obsolete),驾驶舱（废弃）,座艙（老式）,조종실(구식),Kokpit (eski)
CockpitSV_ShortRange,Cockpit 2,Cockpit 2,Cockpit 2,Cabina di Pilotaggio 2,Cabina 2,Cockpit 2,Cabine 2,Kokpit 2,Кабина 2,コックピット5,驾驶台 2,座艙2,조종실 2,Kokpit 2
CockpitSV01,Cockpit 1,Cockpit 1,Cockpit 1,Cabina di Pilotaggio 1,Cabina 1,Cockpit 1,Cabine 1,Kokpit 1,Кабина 1,コックピット9,驾驶台 1,座艙1,조종실 1,Kokpit 1
CockpitSV02,Cockpit 3 (Legacy),Cockpit 3 (Legacy),Cockpit 1 (ancien),Cabina di Pilotaggio 3 (Vecchia),Cabina 3 (legado),Cockpit 3 (Legado),Cabine 3 (Legacy),Kokpit 3 (zastąpiony),Кабина 3 (Наследие),コックピット1(Legacy),驾驶台 3 （遗留）,座艙3（傳承）,조종실 3(유산),Kokpit 3 (Miras)
CockpitSV02New,Cockpit 3,Cockpit 3,Cockpit 3,Cabina di Pilotaggio 3,Cabina 3,Cockpit 3,Cabine 3,Kokpit 3,Кабина 3,コックピット３,驾驶台 3,座艙3,조종실 3,Kokpit 3
CockpitSV03,Cockpit 7 (Legacy),Cockpit 7 (Legacy),Cockpit 3 (ancien),Cabina di Pilotaggio 7 (Vecchia),Cabina 7 (legado),Cockpit 7 (Legado),Cabine 7 (Legacy),Kokpit 7 (zastąpiony),Кабина 7 (Наследие),コックピット2(Legacy),驾驶台 7 （遗留）,座艙7（傳承）,조종실 7(유산),Kokpit 7 (Miras)
CockpitSV04,Cockpit 4,Cockpit 4,Cockpit 4,Cabina di Pilotaggio 4,Cabina 4,Cockpit 4,Cabine 4,Kokpit 4,Кабина 4,コックピット4,驾驶台 4,座艙4,조종실 4,Kokpit 4
CockpitSV05,Cockpit 5 (Legacy),Cockpit 5 (Legacy),Cockpit 2 (ancien),Cabina di Pilotaggio 5 (Vecchia),Cabina 5 (legado),Cockpit 5 (Legado),Cabine 5 (Legacy),Kokpit 5 (zastąpiony),Кабина 5 (Наследие),コックピット3(Legacy),驾驶台 5 （遗留）,座艙5（傳承）,조종실 5(유산),Kokpit 5 (Miras)
CockpitSV05New,Cockpit 5,Cockpit 5,Cockpit 5,Cabina di Pilotaggio 5,Cabina 5,Cockpit 5,Cabine 5,Kokpit 5,Кабина 5,コックピット５,驾驶台 5,座艙5,조종실 5,Kokpit 5
CockpitSV06,Cockpit 6,Cockpit 6,Cockpit 6,Cabina di Pilotaggio 6,Cabina 6,Cockpit 6,Cabine 6,Kokpit 6,Кабина 6,コックピット6,驾驶台 6,座艙6,조종실 6,Kokpit 6
CockpitSV07,Cockpit 6 (Legacy),Cockpit 6 (Legacy),Cockpit 4 (ancien),Cabina di Pilotaggio 6 (Vecchia),Cabina 6 (legado),Cockpit 6 (Legado),Cabine 6 (Legacy),Kokpit 6 (zastąpiony),Кабина 6 (Наследие),コックピット4(Legacy),驾驶台 6 （遗留）,座艙6（傳承）,조종실 6(유산),Kokpit 6 (Miras)
CockpitSV07New,Cockpit 7,Cockpit 7,Cockpit 7,Cabina di Pilotaggio 7,Cabina 7,Cockpit 7,Cabine 7,Kokpit 7,Кабина 7,コックピット７,驾驶台 7,座艙7,조종실 7,Kokpit 7
ConsoleBlocks,Consoles (Deco),Konsolen (Deko-Blöcke),Consoles (Déco),Console (Deco),Consolas (Deco),Consolas (Deco),Consoles (Deco),Konsole (grupa),Консоли (декор),コンソール (Deco),控制台 (装饰),設備（裝飾）,콘솔(데코),Konsollar (Deko)
ConstructorMS,Large Constructor (old - please replace),Konstruktor groß (alt - bitte austauschen),Grand constructeur,Costruttore Grande (vecchio - sostituire per favore),Constructor grande (viejo - reemplazar),Construtor Grande (velho - substituir),Construtor Grande (antigo - substituir),Duży Konstruktor (przestarzały - proszę wymienić),Большой конструктор (устарел - пожалуйста замените),ラージ・コンストラクタ(MS),大型建造机（老旧 - 请替换）,大建造機（舊 - 請替換）,대형 건축가(구식 - 교체할 것),Büyük İnşa Makinesi (eski - lütfen değiştirin)
ConstructorRecursive,Advanced Constructor (old - please replace),Verbesserter Konstruktor (alt - bitte austauschen),Constructeur avancé,Costruttore Avanzato (vecchio - sostituire per favore),Constructor avanzado (viejo - reemplazar),Construtor Avançado (velho - substituir),Construtor Avançado (antigo - substituir),Zaawansowany Konstruktor (przestarzały - proszę wymienić),Расширенный конструктор (устарел - пожалуйста замените),アドバンス・コンストラクタ,高级建造机（老旧 - 请替换）,高級建造機（舊 - 請替換）,고급 건축가(구식 - 교체할 것),Gelişmiş İnşa Makinesi (eski - lütfen değiştirin)
ConstructorSV,Mobile Constructor,Mobiler Konstruktor,Constructeur mobile,Costruttore Mobile,Constructor móvil,Construtor Móvel,Construtor Portátil,Mały Konstruktor,Мобильный конструктор,スモール・コンストラクタ(V2),移动建造机,移動建造機,이동식 건축가,Mobil İnşa Makinesi
ConstructorSurvival,Survival Constructor,Überlebens-Konstruktor,Constructeur de survie,Costruttore di Sopravvivenza,Constructor de supervivencia,Construtor Sobrevivência,Construtor de Sobrevivência,Przenośny Konstruktor,Аварийный конструктор,簡易コンストラクタ,求生建造机,生存建造機,서바이벌 건축가,Başlangıç Seviyesi İnşa Makinesi
